MR;type;STC_id;STC_n_parameters;number_of_FUTCs;local_distance;STC;FUTC_1;FUTC_2;FUTC_3;FUTC_4;FUTC_5;FUTC_6
MR59;DISJOINT_EXTEND;Test-17;9;5;5;[exactSearch, secondCitizenship:Argentina, dayBirth, yearBirth, maxAge, minYear, maxYear, minHeight, limit];[secondCitizenship:Haiti];[secondCitizenship:Afghanistan];[secondCitizenship:Albania];[secondCitizenship:Algeria];[secondCitizenship:American Samoa];[]
MR32;DISJOINT_EXTEND;Test-09;11;5;5;[placeOfBirth, exactSearch, citizenship:Germany, countryOfBirth, dayBirth, monthBirth, maxAge, maxYear, minHeight, maxHeight, limit];[citizenship:Haiti];[citizenship:Afghanistan];[citizenship:Albania];[citizenship:Algeria];[citizenship:American Samoa];[]
MR68;DISJOINT_EXTEND;Test-19;13;5;5;[placeOfBirth, citizenship, secondCitizenship, confederation:FIFA, monthBirth, yearBirth, minAge, maxAge, minYear, maxYear, minHeight, maxHeight, limit];[confederation:AFC];[confederation:CAF];[confederation:CONCACAF];[confederation:CONMEBOL];[confederation:OFC];[]
MR11;DISJOINT_EXTEND;Test-03;10;2;2;[placeOfBirth, confederation:UEFA, dayBirth, monthBirth, minAge, minYear, maxYear, minHeight, maxHeight, limit];[confederation:AFC];[confederation:CAF];[];[];[];[]
MR62;DISJOINT_EXTEND;Test-17;9;2;2;[exactSearch, secondCitizenship:Argentina, dayBirth, yearBirth, maxAge, minYear, maxYear, minHeight, limit];[secondCitizenship:Haiti];[secondCitizenship:Afghanistan];[];[];[];[]
MR44;DISJOINT_EXTEND;Test-13;11;5;5;[exactSearch, citizenship, secondCitizenship, countryOfBirth, confederation:FIFA, dayBirth, monthBirth, minAge, maxAge, minHeight, limit];[confederation:AFC];[confederation:CAF];[confederation:CONCACAF];[confederation:CONMEBOL];[confederation:OFC];[]
MR17;DISJOINT_EXTEND;Test-05;9;5;5;[placeOfBirth, exactSearch, citizenship, secondCitizenship:Spain, confederation, yearBirth, minAge, maxYear, limit];[secondCitizenship:Haiti];[secondCitizenship:Afghanistan];[secondCitizenship:Albania];[secondCitizenship:Algeria];[secondCitizenship:American Samoa];[]
MR45;DISJOINT_EXTEND;Test-13;11;1;1;[exactSearch, citizenship, secondCitizenship, countryOfBirth, confederation:FIFA, dayBirth, monthBirth, minAge, maxAge, minHeight, limit];[confederation:AFC];[];[];[];[];[]
MR70;DISJOINT_EXTEND;Test-19;13;3;3;[placeOfBirth, citizenship, secondCitizenship:Argentina, confederation, monthBirth, yearBirth, minAge, maxAge, minYear, maxYear, minHeight, maxHeight, limit];[secondCitizenship:Haiti];[secondCitizenship:Afghanistan];[secondCitizenship:Albania];[];[];[]
MR12;DISJOINT_EXTEND;Test-04;10;5;5;[placeOfBirth, exactSearch, secondCitizenship, countryOfBirth:Spain, minAge, maxAge, minYear, maxYear, maxHeight, limit];[countryOfBirth:Haiti];[countryOfBirth:Afghanistan];[countryOfBirth:Albania];[countryOfBirth:Algeria];[countryOfBirth:American Samoa];[]
