MR;Type;STC;FUTCs;LocalDistance
MR59;DISJOINT_EXTEND;Test-17;5;5
MR32;DISJOINT_EXTEND;Test-09;5;5
MR68;DISJOINT_EXTEND;Test-19;5;5
MR11;DISJOINT_EXTEND;Test-03;2;2
MR62;DISJOINT_EXTEND;Test-17;2;2
MR44;DISJOINT_EXTEND;Test-13;5;5
MR17;DISJOINT_EXTEND;Test-05;5;5
MR45;DISJOINT_EXTEND;Test-13;1;1
MR70;DISJOINT_EXTEND;Test-19;3;3
MR12;DISJOINT_EXTEND;Test-04;5;5
MR31;DISJOINT_EXTEND;Test-09;2;2
MR27;DISJOINT_EXTEND;Test-08;4;4
MR73;DISJOINT_EXTEND;Test-20;3;3
MR43;DISJOINT_EXTEND;Test-12;4;4
MR3;DISJOINT_EXTEND;Test-01;3;3
MR48;DISJOINT_EXTEND;Test-14;2;2
MR64;DISJOINT_EXTEND;Test-18;2;2
MR47;DISJOINT_EXTEND;Test-13;5;5
MR30;DISJOINT_EXTEND;Test-09;4;4
MR26;DISJOINT_EXTEND;Test-08;2;2
MR10;DISJOINT_EXTEND;Test-03;4;4
MR15;DISJOINT_EXTEND;Test-04;2;2
MR13;DISJOINT_EXTEND;Test-04;2;2
MR61;DISJOINT_EXTEND;Test-17;4;4
MR7;DISJOINT_EXTEND;Test-02;4;4
MR67;DISJOINT_EXTEND;Test-19;1;1
MR5;DISJOINT_EXTEND;Test-02;4;4
MR49;DISJOINT_EXTEND;Test-14;4;4
MR41;DISJOINT_EXTEND;Test-12;1;1
MR36;DISJOINT_EXTEND;Test-10;4;4
MR33;DISJOINT_EXTEND;Test-10;5;5
MR74;DISJOINT_EXTEND;Test-20;4;4
MR55;DISJOINT_EXTEND;Test-15;4;4
MR1;DISJOINT_EXTEND;Test-01;5;5
MR54;DISJOINT_EXTEND;Test-15;1;1
MR9;DISJOINT_EXTEND;Test-03;3;3
MR46;DISJOINT_EXTEND;Test-13;4;4
MR42;DISJOINT_EXTEND;Test-12;5;5
MR51;DISJOINT_EXTEND;Test-14;4;4
MR21;DISJOINT_EXTEND;Test-06;2;2
MR65;DISJOINT_EXTEND;Test-18;4;4
MR20;DISJOINT_EXTEND;Test-06;1;1
MR56;DISJOINT_EXTEND;Test-16;4;4
MR22;DISJOINT_EXTEND;Test-06;3;3
MR29;DISJOINT_EXTEND;Test-08;2;2
MR18;DISJOINT_EXTEND;Test-05;1;1
MR57;DISJOINT_EXTEND;Test-16;6;6
MR35;DISJOINT_EXTEND;Test-10;5;5
MR71;DISJOINT_EXTEND;Test-20;2;2
MR37;DISJOINT_EXTEND;Test-11;1;1
MR72;DISJOINT_EXTEND;Test-20;3;3
MR25;DISJOINT_EXTEND;Test-07;2;2
MR40;DISJOINT_EXTEND;Test-11;3;3
MR50;DISJOINT_EXTEND;Test-14;5;5
MR53;DISJOINT_EXTEND;Test-15;4;4
MR58;DISJOINT_EXTEND;Test-16;4;4
MR39;DISJOINT_EXTEND;Test-11;1;1
MR16;DISJOINT_EXTEND;Test-05;4;4
MR8;DISJOINT_EXTEND;Test-03;6;6
MR19;DISJOINT_EXTEND;Test-06;6;6
MR24;DISJOINT_EXTEND;Test-07;5;5
MR0;DISJOINT_EXTEND;Test-01;2;2
MR2;DISJOINT_EXTEND;Test-01;2;2
MR38;DISJOINT_EXTEND;Test-11;2;2
MR52;DISJOINT_EXTEND;Test-15;3;3
MR23;DISJOINT_EXTEND;Test-07;3;3
MR6;DISJOINT_EXTEND;Test-02;5;5
MR63;DISJOINT_EXTEND;Test-18;4;4
MR60;DISJOINT_EXTEND;Test-17;6;6
MR66;DISJOINT_EXTEND;Test-18;3;3
MR4;DISJOINT_EXTEND;Test-02;5;5
MR14;DISJOINT_EXTEND;Test-04;1;1
MR34;DISJOINT_EXTEND;Test-10;6;6
MR28;DISJOINT_EXTEND;Test-08;1;1
MR69;DISJOINT_EXTEND;Test-19;4;4
