MR;type;STC_id;STC_n_parameters;number_of_FUTCs;local_distance;STC;FUTC_1;FUTC_2;FUTC_3;FUTC_4;FUTC_5;FUTC_6
MR30;DISJOINT_EXTEND;Test-09;11;5;5;[placeOfBirth, exactSearch, citizenship, countryOfBirth:Spain, dayBirth, monthBirth, maxAge, maxYear, minHeight, maxHeight, limit];[countryOfBirth:Haiti];[countryOfBirth:Afghanistan];[countryOfBirth:Albania];[countryOfBirth:Algeria];[countryOfBirth:American Samoa];[]
MR40;DISJOINT_EXTEND;Test-12;14;5;5;[placeOfBirth, secondCitizenship, countryOfBirth:Spain, confederation, dayBirth, monthBirth, yearBirth, minAge, maxAge, minYear, maxYear, minHeight, maxHeight, limit];[countryOfBirth:Haiti];[countryOfBirth:Afghanistan];[countryOfBirth:Albania];[countryOfBirth:Algeria];[countryOfBirth:American Samoa];[]
MR41;DISJOINT_EXTEND;Test-12;14;3;3;[placeOfBirth, secondCitizenship, countryOfBirth, confederation:UEFA, dayBirth, monthBirth, yearBirth, minAge, maxAge, minYear, maxYear, minHeight, maxHeight, limit];[confederation:AFC];[confederation:CAF];[confederation:CONCACAF];[];[];[]
MR70;DISJOINT_EXTEND;Test-20;13;3;3;[placeOfBirth, exactSearch, citizenship:Germany, secondCitizenship, countryOfBirth, confederation, monthBirth, maxAge, minYear, maxYear, minHeight, maxHeight, limit];[citizenship:Haiti];[citizenship:Afghanistan];[citizenship:Albania];[];[];[]
MR52;DISJOINT_EXTEND;Test-15;11;1;1;[citizenship, secondCitizenship:Spain, countryOfBirth, confederation, monthBirth, yearBirth, minAge, minYear, maxYear, maxHeight, limit];[secondCitizenship:Haiti];[];[];[];[];[]
MR39;DISJOINT_EXTEND;Test-12;14;6;6;[placeOfBirth, secondCitizenship, countryOfBirth:Spain, confederation, dayBirth, monthBirth, yearBirth, minAge, maxAge, minYear, maxYear, minHeight, maxHeight, limit];[countryOfBirth:Haiti];[countryOfBirth:Afghanistan];[countryOfBirth:Albania];[countryOfBirth:Algeria];[countryOfBirth:American Samoa];[countryOfBirth:American Virgin Islands]
MR16;DISJOINT_EXTEND;Test-05;9;1;1;[placeOfBirth, exactSearch, citizenship, secondCitizenship, confederation:FIFA, yearBirth, minAge, maxYear, limit];[confederation:AFC];[];[];[];[];[]
MR26;DISJOINT_EXTEND;Test-08;11;5;5;[placeOfBirth, citizenship, confederation:FIFA, monthBirth, yearBirth, minAge, maxAge, minYear, maxYear, minHeight, limit];[confederation:AFC];[confederation:CAF];[confederation:CONCACAF];[confederation:CONMEBOL];[confederation:OFC];[]
MR66;DISJOINT_EXTEND;Test-19;13;2;2;[placeOfBirth, citizenship, secondCitizenship, confederation:FIFA, monthBirth, yearBirth, minAge, maxAge, minYear, maxYear, minHeight, maxHeight, limit];[confederation:AFC];[confederation:CAF];[];[];[];[]
MR59;DISJOINT_EXTEND;Test-17;9;6;6;[exactSearch, secondCitizenship:Argentina, dayBirth, yearBirth, maxAge, minYear, maxYear, minHeight, limit];[secondCitizenship:Haiti];[secondCitizenship:Afghanistan];[secondCitizenship:Albania];[secondCitizenship:Algeria];[secondCitizenship:American Samoa];[secondCitizenship:American Virgin Islands]
MR28;DISJOINT_EXTEND;Test-09;11;1;1;[placeOfBirth, exactSearch, citizenship:Germany, countryOfBirth, dayBirth, monthBirth, maxAge, maxYear, minHeight, maxHeight, limit];[citizenship:Haiti];[];[];[];[];[]
