MR;Type;STC;FUTCs;LocalDistance
MR209;CONJUNCTIVE_CONTRACT;Test-11;3;3
MR260;DISJOINT_EXTEND;Test-13;2;2
MR728;CONJUNCTIVE_CONTRACT;Test-43;3;7
MR957;COMPLETE_EXTEND;Test-57;3;3
MR1029;DISJOINT_EXTEND;Test-61;2;2
MR710;CONJUNCTIVE_CONTRACT;Test-42;4;13
MR258;DISJOINT_EXTEND;Test-13;2;2
MR87;SHUFFLING_EXTEND;Test-05;2;2
MR325;COMPLETE_EXTEND;Test-17;3;3
MR502;CONJUNCTIVE_EXTEND;Test-28;1;5
MR622;DISJOINT_EXTEND;Test-35;2;2
MR112;DISJOINT_EXTEND;Test-06;2;2
MR707;CONJUNCTIVE_CONTRACT;Test-42;4;13
MR352;EQUIVALENCE_EXTEND;Test-19;2;2
MR759;DISJOINT_EXTEND;Test-44;2;2
MR807;SHUFFLING_EXTEND;Test-48;3;3
MR889;CONJUNCTIVE_EXTEND;Test-53;2;2
MR771;DISJOINT_EXTEND;Test-45;2;2
MR262;COMPLETE_EXTEND;Test-13;2;2
MR787;CONJUNCTIVE_CONTRACT;Test-47;4;4
MR1030;COMPLETE_EXTEND;Test-61;2;2
MR125;CONJUNCTIVE_CONTRACT;Test-07;4;12
MR863;CONJUNCTIVE_CONTRACT;Test-52;3;7
MR66;DISJOINT_EXTEND;Test-04;2;2
MR631;COMPLETE_EXTEND;Test-36;3;3
MR31;SHUFFLING_CONTRACT;Test-02;1;1
MR74;CONJUNCTIVE_CONTRACT;Test-05;4;15
MR649;COMPLETE_EXTEND;Test-37;2;2
MR619;SHUFFLING_EXTEND;Test-35;2;2
MR464;CONJUNCTIVE_EXTEND;Test-26;2;3
MR177;CONJUNCTIVE_EXTEND;Test-09;1;4
MR65;DISJOINT_EXTEND;Test-04;2;2
MR106;CONJUNCTIVE_EXTEND;Test-06;1;4
MR647;DISJOINT_EXTEND;Test-37;2;2
MR203;DISJOINT_EXTEND;Test-10;2;2
MR695;CONJUNCTIVE_CONTRACT;Test-41;2;2
MR346;DISJOINT_EXTEND;Test-19;2;2
MR399;SHUFFLING_EXTEND;Test-22;3;3
