MR;Type;STC;FUTCs;LocalDistance
MR669;CONJUNCTIVE_CONTRACT;Test-39;4;8
MR819;CONJUNCTIVE_CONTRACT;Test-49;1;8
MR958;CONJUNCTIVE_CONTRACT;Test-58;3;8
MR660;CONJUNCTIVE_CONTRACT;Test-39;3;8
MR146;CONJUNCTIVE_CONTRACT;Test-08;1;8
MR166;CONJUNCTIVE_CONTRACT;Test-09;1;8
MR443;CONJUNCTIVE_CONTRACT;Test-25;3;8
MR813;CONJUNCTIVE_CONTRACT;Test-49;2;8
MR814;CONJUNCTIVE_CONTRACT;Test-49;1;8
MR1017;CONJUNCTIVE_CONTRACT;Test-61;2;8
MR455;CONJUNCTIVE_CONTRACT;Test-25;1;8
MR22;CONJUNCTIVE_CONTRACT;Test-02;1;8
MR1073;CONJUNCTIVE_CONTRACT;Test-64;1;8
MR691;CONJUNCTIVE_CONTRACT;Test-41;1;8
MR27;CONJUNCTIVE_CONTRACT;Test-02;1;8
MR451;CONJUNCTIVE_CONTRACT;Test-25;2;8
MR887;CONJUNCTIVE_CONTRACT;Test-53;1;7
MR766;CONJUNCTIVE_CONTRACT;Test-45;1;7
MR670;CONJUNCTIVE_CONTRACT;Test-39;2;7
MR237;CONJUNCTIVE_CONTRACT;Test-12;2;7
MR226;CONJUNCTIVE_CONTRACT;Test-12;3;7
MR224;CONJUNCTIVE_CONTRACT;Test-12;2;7
MR233;CONJUNCTIVE_CONTRACT;Test-12;2;7
MR865;CONJUNCTIVE_CONTRACT;Test-52;1;7
MR406;CONJUNCTIVE_CONTRACT;Test-23;1;7
MR239;CONJUNCTIVE_CONTRACT;Test-12;3;7
MR222;CONJUNCTIVE_CONTRACT;Test-12;3;7
MR230;CONJUNCTIVE_CONTRACT;Test-12;3;7
MR227;CONJUNCTIVE_CONTRACT;Test-12;2;7
MR228;CONJUNCTIVE_CONTRACT;Test-12;2;7
MR232;CONJUNCTIVE_CONTRACT;Test-12;3;7
MR748;CONJUNCTIVE_CONTRACT;Test-44;1;7
MR711;CONJUNCTIVE_CONTRACT;Test-42;1;7
MR240;CONJUNCTIVE_CONTRACT;Test-12;3;7
MR812;CONJUNCTIVE_CONTRACT;Test-49;1;7
MR221;CONJUNCTIVE_CONTRACT;Test-12;2;7
MR123;CONJUNCTIVE_CONTRACT;Test-07;4;7
MR661;CONJUNCTIVE_CONTRACT;Test-39;2;7
MR235;CONJUNCTIVE_CONTRACT;Test-12;3;7
MR241;CONJUNCTIVE_CONTRACT;Test-12;3;7
MR231;CONJUNCTIVE_CONTRACT;Test-12;2;7
MR242;CONJUNCTIVE_CONTRACT;Test-12;2;7
MR229;CONJUNCTIVE_CONTRACT;Test-12;2;7
MR234;CONJUNCTIVE_CONTRACT;Test-12;2;7
MR225;CONJUNCTIVE_CONTRACT;Test-12;3;7
MR249;CONJUNCTIVE_CONTRACT;Test-13;1;7
MR41;CONJUNCTIVE_CONTRACT;Test-03;3;7
MR56;CONJUNCTIVE_CONTRACT;Test-04;2;7
MR238;CONJUNCTIVE_CONTRACT;Test-12;3;7
MR863;CONJUNCTIVE_CONTRACT;Test-52;3;7
MR236;CONJUNCTIVE_CONTRACT;Test-12;3;7
MR667;CONJUNCTIVE_CONTRACT;Test-39;2;7
MR223;CONJUNCTIVE_CONTRACT;Test-12;1;7
MR13;CONJUNCTIVE_EXTEND;Test-01;2;7
MR728;CONJUNCTIVE_CONTRACT;Test-43;3;7
MR615;CONJUNCTIVE_CONTRACT;Test-35;1;7
MR685;CONJUNCTIVE_CONTRACT;Test-40;2;7
MR832;CONJUNCTIVE_CONTRACT;Test-50;3;6
MR872;CONJUNCTIVE_EXTEND;Test-52;2;6
MR666;CONJUNCTIVE_CONTRACT;Test-39;2;6
MR672;CONJUNCTIVE_CONTRACT;Test-39;2;6
MR864;CONJUNCTIVE_CONTRACT;Test-52;1;6
MR433;CONJUNCTIVE_CONTRACT;Test-24;1;6
MR692;CONJUNCTIVE_CONTRACT;Test-41;3;6
MR489;SHUFFLING_EXTEND;Test-27;6;6
MR948;CONJUNCTIVE_CONTRACT;Test-57;2;6
MR913;CONJUNCTIVE_CONTRACT;Test-55;1;6
MR844;CONJUNCTIVE_CONTRACT;Test-50;3;6
MR58;CONJUNCTIVE_EXTEND;Test-04;1;6
MR129;CONJUNCTIVE_CONTRACT;Test-07;1;6
MR843;CONJUNCTIVE_CONTRACT;Test-50;3;6
MR833;CONJUNCTIVE_CONTRACT;Test-50;2;6
MR453;CONJUNCTIVE_CONTRACT;Test-25;4;6
MR831;CONJUNCTIVE_CONTRACT;Test-50;3;6
MR127;CONJUNCTIVE_CONTRACT;Test-07;2;6
MR54;CONJUNCTIVE_CONTRACT;Test-04;3;6
MR663;CONJUNCTIVE_CONTRACT;Test-39;1;6
