MR;Type;STC;FUTCs;LocalDistance
MR166;DISJOINT_EXTEND;Test-08;2;2
MR522;CONJUNCTIVE_EXTEND;Test-28;1;6
MR354;DISJOINT_EXTEND;Test-18;2;2
MR733;CONJUNCTIVE_CONTRACT;Test-42;2;13
MR808;CONJUNCTIVE_CONTRACT;Test-47;2;4
MR493;SHUFFLING_CONTRACT;Test-26;1;1
MR624;CONJUNCTIVE_EXTEND;Test-34;1;1
MR323;CONJUNCTIVE_CONTRACT;Test-17;3;5
MR165;DISJOINT_EXTEND;Test-08;1;1
MR502;CONJUNCTIVE_CONTRACT;Test-27;1;2
MR270;COMPLETE_EXTEND;Test-13;2;2
MR999;CONJUNCTIVE_CONTRACT;Test-60;4;5
MR984;CONJUNCTIVE_EXTEND;Test-59;1;1
MR645;CONJUNCTIVE_CONTRACT;Test-36;3;3
MR973;SHUFFLING_EXTEND;Test-58;4;4
MR94;DISJOINT_EXTEND;Test-05;1;1
MR609;CONJUNCTIVE_EXTEND;Test-33;2;6
MR417;CONJUNCTIVE_EXTEND;Test-22;1;1
MR960;CONJUNCTIVE_CONTRACT;Test-57;2;5
MR656;CONJUNCTIVE_CONTRACT;Test-37;1;1
MR941;CONJUNCTIVE_CONTRACT;Test-56;2;6
MR309;CONJUNCTIVE_EXTEND;Test-16;1;3
MR1011;CONJUNCTIVE_CONTRACT;Test-61;2;9
MR629;DISJOINT_EXTEND;Test-34;1;1
MR574;CONJUNCTIVE_EXTEND;Test-31;1;3
MR478;CONJUNCTIVE_CONTRACT;Test-25;1;7
MR239;CONJUNCTIVE_CONTRACT;Test-12;4;7
MR740;DISJOINT_EXTEND;Test-42;1;1
MR563;CONJUNCTIVE_CONTRACT;Test-31;1;2
MR4;CONJUNCTIVE_CONTRACT;Test-01;1;1
MR482;DISJOINT_EXTEND;Test-25;1;1
MR549;EQUIVALENCE_EXTEND;Test-29;2;3
MR1044;DISJOINT_EXTEND;Test-62;2;2
MR831;DISJOINT_EXTEND;Test-49;1;1
MR736;SHUFFLING_EXTEND;Test-42;5;5
MR440;DISJOINT_EXTEND;Test-23;1;1
MR928;CONJUNCTIVE_CONTRACT;Test-55;1;4
MR103;CONJUNCTIVE_CONTRACT;Test-06;1;1
MR333;EQUIVALENCE_EXTEND;Test-17;1;1
MR1029;CONJUNCTIVE_CONTRACT;Test-62;1;14
MR191;CONJUNCTIVE_CONTRACT;Test-10;1;2
MR516;CONJUNCTIVE_CONTRACT;Test-28;1;5
MR327;CONJUNCTIVE_CONTRACT;Test-17;1;2
MR78;CONJUNCTIVE_CONTRACT;Test-05;3;15
MR341;CONJUNCTIVE_CONTRACT;Test-18;1;3
MR231;CONJUNCTIVE_CONTRACT;Test-12;2;7
MR26;CONJUNCTIVE_CONTRACT;Test-02;1;5
MR197;CONJUNCTIVE_EXTEND;Test-10;1;1
MR469;CONJUNCTIVE_CONTRACT;Test-25;2;7
MR1030;CONJUNCTIVE_CONTRACT;Test-62;2;14
MR283;CONJUNCTIVE_EXTEND;Test-14;1;1
MR1059;CONJUNCTIVE_CONTRACT;Test-63;2;4
MR130;CONJUNCTIVE_CONTRACT;Test-07;4;12
MR411;CONJUNCTIVE_CONTRACT;Test-22;3;3
MR765;EQUIVALENCE_EXTEND;Test-43;1;2
MR907;EQUIVALENCE_EXTEND;Test-53;1;1
MR994;CONJUNCTIVE_CONTRACT;Test-60;1;5
MR298;DISJOINT_EXTEND;Test-15;1;1
MR145;EQUIVALENCE_EXTEND;Test-07;1;2
MR567;CONJUNCTIVE_CONTRACT;Test-31;1;1
MR952;EQUIVALENCE_EXTEND;Test-56;1;1
MR1;CONJUNCTIVE_CONTRACT;Test-01;1;1
MR375;CONJUNCTIVE_CONTRACT;Test-20;1;2
MR822;DISJOINT_EXTEND;Test-48;2;2
MR334;CONJUNCTIVE_CONTRACT;Test-18;2;5
MR1056;CONJUNCTIVE_CONTRACT;Test-63;2;4
MR693;CONJUNCTIVE_CONTRACT;Test-39;1;6
MR859;CONJUNCTIVE_CONTRACT;Test-51;1;2
MR666;DISJOINT_EXTEND;Test-37;2;2
MR321;CONJUNCTIVE_CONTRACT;Test-17;2;5
MR777;CONJUNCTIVE_EXTEND;Test-44;1;1
MR62;CONJUNCTIVE_EXTEND;Test-04;1;2
MR317;COMPLETE_EXTEND;Test-16;3;3
MR492;CONJUNCTIVE_EXTEND;Test-26;1;3
MR86;CONJUNCTIVE_CONTRACT;Test-05;3;15
MR614;DISJOINT_EXTEND;Test-33;1;1
MR513;CONJUNCTIVE_CONTRACT;Test-28;1;3
MR920;CONJUNCTIVE_CONTRACT;Test-54;2;5
MR452;CONJUNCTIVE_CONTRACT;Test-24;1;4
MR45;SHUFFLING_CONTRACT;Test-03;1;1
MR1027;CONJUNCTIVE_CONTRACT;Test-62;4;14
MR576;SHUFFLING_EXTEND;Test-31;5;5
MR134;CONJUNCTIVE_EXTEND;Test-07;1;6
MR773;CONJUNCTIVE_CONTRACT;Test-44;2;12
MR742;CONJUNCTIVE_CONTRACT;Test-43;2;6
MR856;CONJUNCTIVE_EXTEND;Test-50;1;1
MR292;CONJUNCTIVE_EXTEND;Test-15;2;5
MR41;CONJUNCTIVE_CONTRACT;Test-03;2;13
MR66;DISJOINT_EXTEND;Test-04;2;2
MR570;CONJUNCTIVE_EXTEND;Test-31;1;1
MR861;CONJUNCTIVE_CONTRACT;Test-51;1;2
MR1041;SHUFFLING_EXTEND;Test-62;4;4
MR426;CONJUNCTIVE_CONTRACT;Test-23;1;5
MR254;CONJUNCTIVE_CONTRACT;Test-13;2;11
MR916;CONJUNCTIVE_CONTRACT;Test-54;3;5
MR802;CONJUNCTIVE_CONTRACT;Test-46;3;3
MR594;CONJUNCTIVE_EXTEND;Test-32;1;2
MR990;DISJOINT_EXTEND;Test-59;1;1
MR356;CONJUNCTIVE_CONTRACT;Test-19;2;6
MR1034;CONJUNCTIVE_CONTRACT;Test-62;1;2
MR384;DISJOINT_EXTEND;Test-20;1;1
MR753;CONJUNCTIVE_EXTEND;Test-43;1;3
MR918;CONJUNCTIVE_CONTRACT;Test-54;3;5
MR443;DISJOINT_EXTEND;Test-23;2;2
MR328;CONJUNCTIVE_CONTRACT;Test-17;1;4
MR748;CONJUNCTIVE_CONTRACT;Test-43;2;10
MR279;CONJUNCTIVE_CONTRACT;Test-14;1;3
MR727;CONJUNCTIVE_CONTRACT;Test-42;1;5
MR991;DISJOINT_EXTEND;Test-59;1;1
MR430;CONJUNCTIVE_CONTRACT;Test-23;1;1
MR167;DISJOINT_EXTEND;Test-08;1;1
MR558;CONJUNCTIVE_CONTRACT;Test-30;1;1
MR420;SHUFFLING_EXTEND;Test-22;3;3
MR72;EQUIVALENCE_EXTEND;Test-04;1;1
MR704;CONJUNCTIVE_CONTRACT;Test-40;3;10
MR471;CONJUNCTIVE_CONTRACT;Test-25;2;8
MR58;CONJUNCTIVE_CONTRACT;Test-04;1;3
MR53;CONJUNCTIVE_CONTRACT;Test-04;1;7
MR330;SHUFFLING_CONTRACT;Test-17;1;1
MR282;CONJUNCTIVE_EXTEND;Test-14;1;2
MR632;CONJUNCTIVE_CONTRACT;Test-35;1;1
MR737;DISJOINT_EXTEND;Test-42;2;2
MR296;DISJOINT_EXTEND;Test-15;1;1
MR168;COMPLETE_EXTEND;Test-08;2;2
MR406;DISJOINT_EXTEND;Test-21;1;1
MR862;CONJUNCTIVE_CONTRACT;Test-51;1;3
MR573;CONJUNCTIVE_EXTEND;Test-31;1;6
MR667;COMPLETE_EXTEND;Test-37;2;2
MR9;CONJUNCTIVE_EXTEND;Test-01;1;6
MR288;CONJUNCTIVE_CONTRACT;Test-15;1;3
MR873;CONJUNCTIVE_EXTEND;Test-52;2;8
MR661;CONJUNCTIVE_EXTEND;Test-37;1;3
MR957;CONJUNCTIVE_CONTRACT;Test-57;1;1
MR790;CONJUNCTIVE_CONTRACT;Test-45;3;10
MR559;CONJUNCTIVE_CONTRACT;Test-30;1;3
MR287;EQUIVALENCE_EXTEND;Test-14;1;2
MR378;CONJUNCTIVE_EXTEND;Test-20;1;3
MR646;CONJUNCTIVE_CONTRACT;Test-36;2;3
MR787;CONJUNCTIVE_CONTRACT;Test-45;1;1
MR845;CONJUNCTIVE_CONTRACT;Test-50;1;2
MR893;CONJUNCTIVE_CONTRACT;Test-53;1;7
MR23;CONJUNCTIVE_CONTRACT;Test-02;2;10
MR379;SHUFFLING_CONTRACT;Test-20;1;1
MR368;DISJOINT_EXTEND;Test-19;1;1
MR898;CONJUNCTIVE_EXTEND;Test-53;1;4
MR105;CONJUNCTIVE_CONTRACT;Test-06;2;13
MR962;CONJUNCTIVE_CONTRACT;Test-57;1;5
MR339;CONJUNCTIVE_CONTRACT;Test-18;2;5
MR386;COMPLETE_EXTEND;Test-20;2;2
MR710;CONJUNCTIVE_CONTRACT;Test-41;1;7
MR618;EQUIVALENCE_EXTEND;Test-33;2;3
MR172;CONJUNCTIVE_CONTRACT;Test-09;1;9
MR255;CONJUNCTIVE_CONTRACT;Test-13;1;3
MR374;CONJUNCTIVE_CONTRACT;Test-20;2;4
MR21;EQUIVALENCE_EXTEND;Test-01;1;2
MR807;CONJUNCTIVE_CONTRACT;Test-47;3;4
MR828;CONJUNCTIVE_EXTEND;Test-49;1;1
MR578;DISJOINT_EXTEND;Test-31;1;1
MR460;CONJUNCTIVE_EXTEND;Test-24;1;2
MR1052;CONJUNCTIVE_CONTRACT;Test-63;2;4
MR751;CONJUNCTIVE_EXTEND;Test-43;1;6
MR156;CONJUNCTIVE_EXTEND;Test-08;1;4
MR654;CONJUNCTIVE_CONTRACT;Test-37;2;9
MR503;CONJUNCTIVE_CONTRACT;Test-27;1;1
MR883;COMPLETE_EXTEND;Test-52;2;2
MR728;CONJUNCTIVE_CONTRACT;Test-42;1;8
MR615;DISJOINT_EXTEND;Test-33;1;1
MR655;CONJUNCTIVE_CONTRACT;Test-37;2;14
MR120;DISJOINT_EXTEND;Test-06;1;1
MR814;SHUFFLING_EXTEND;Test-47;3;3
MR27;CONJUNCTIVE_CONTRACT;Test-02;2;10
MR115;SHUFFLING_CONTRACT;Test-06;1;1
MR121;COMPLETE_EXTEND;Test-06;3;3
MR364;CONJUNCTIVE_EXTEND;Test-19;2;4
MR776;CONJUNCTIVE_EXTEND;Test-44;2;3
MR793;DISJOINT_EXTEND;Test-45;1;1
MR969;CONJUNCTIVE_CONTRACT;Test-58;3;8
MR923;CONJUNCTIVE_CONTRACT;Test-55;1;2
MR274;CONJUNCTIVE_CONTRACT;Test-14;1;1
MR541;CONJUNCTIVE_EXTEND;Test-29;1;3
MR162;SHUFFLING_EXTEND;Test-08;5;5
MR637;DISJOINT_EXTEND;Test-35;1;1
MR464;DISJOINT_EXTEND;Test-24;2;2
MR201;SHUFFLING_EXTEND;Test-10;4;4
MR641;CONJUNCTIVE_CONTRACT;Test-36;2;3
MR486;CONJUNCTIVE_CONTRACT;Test-26;2;11
MR108;CONJUNCTIVE_CONTRACT;Test-06;1;3
MR583;CONJUNCTIVE_CONTRACT;Test-32;2;6
MR297;DISJOINT_EXTEND;Test-15;1;1
MR744;CONJUNCTIVE_CONTRACT;Test-43;1;10
MR953;CONJUNCTIVE_CONTRACT;Test-57;2;4
MR958;CONJUNCTIVE_CONTRACT;Test-57;1;2
MR539;CONJUNCTIVE_EXTEND;Test-29;1;3
MR22;EQUIVALENCE_EXTEND;Test-01;1;5
MR687;CONJUNCTIVE_CONTRACT;Test-39;2;7
MR987;SHUFFLING_CONTRACT;Test-59;1;1
MR402;CONJUNCTIVE_CONTRACT;Test-21;4;4
MR810;CONJUNCTIVE_CONTRACT;Test-47;3;4
MR119;DISJOINT_EXTEND;Test-06;1;1
MR1006;CONJUNCTIVE_CONTRACT;Test-61;2;2
MR815;CONJUNCTIVE_CONTRACT;Test-48;2;5
MR399;CONJUNCTIVE_CONTRACT;Test-21;3;4
MR447;CONJUNCTIVE_CONTRACT;Test-24;2;13
MR556;CONJUNCTIVE_CONTRACT;Test-30;2;3
MR414;CONJUNCTIVE_CONTRACT;Test-22;3;3
MR975;COMPLETE_EXTEND;Test-58;2;2
MR659;CONJUNCTIVE_EXTEND;Test-37;1;1
MR1014;CONJUNCTIVE_EXTEND;Test-61;1;3
MR1010;CONJUNCTIVE_CONTRACT;Test-61;2;11
MR505;CONJUNCTIVE_CONTRACT;Test-27;2;3
MR977;CONJUNCTIVE_CONTRACT;Test-59;1;4
MR501;EQUIVALENCE_EXTEND;Test-26;3;3
MR458;CONJUNCTIVE_CONTRACT;Test-24;3;13
MR540;CONJUNCTIVE_EXTEND;Test-29;2;6
MR235;CONJUNCTIVE_CONTRACT;Test-12;6;7
MR159;CONJUNCTIVE_EXTEND;Test-08;1;4
MR899;SHUFFLING_CONTRACT;Test-53;1;1
MR438;DISJOINT_EXTEND;Test-23;1;1
MR675;CONJUNCTIVE_CONTRACT;Test-38;3;4
MR215;CONJUNCTIVE_CONTRACT;Test-11;1;2
MR81;CONJUNCTIVE_CONTRACT;Test-05;1;4
MR900;SHUFFLING_EXTEND;Test-53;4;4
MR1040;CONJUNCTIVE_EXTEND;Test-62;1;2
MR762;DISJOINT_EXTEND;Test-43;1;1
MR1047;EQUIVALENCE_EXTEND;Test-62;1;2
MR34;DISJOINT_EXTEND;Test-02;1;1
MR135;CONJUNCTIVE_EXTEND;Test-07;2;4
MR884;EQUIVALENCE_EXTEND;Test-52;1;1
MR304;CONJUNCTIVE_CONTRACT;Test-16;1;4
MR914;CONJUNCTIVE_CONTRACT;Test-54;3;5
MR146;CONJUNCTIVE_CONTRACT;Test-08;1;3
MR796;CONJUNCTIVE_CONTRACT;Test-46;1;3
MR349;CONJUNCTIVE_CONTRACT;Test-18;3;4
MR403;CONJUNCTIVE_EXTEND;Test-21;1;4
MR232;CONJUNCTIVE_CONTRACT;Test-12;4;7
MR593;CONJUNCTIVE_EXTEND;Test-32;1;3
MR780;DISJOINT_EXTEND;Test-44;1;1
MR713;CONJUNCTIVE_CONTRACT;Test-41;1;6
MR496;DISJOINT_EXTEND;Test-26;1;1
MR42;CONJUNCTIVE_CONTRACT;Test-03;1;1
MR605;CONJUNCTIVE_CONTRACT;Test-33;1;2
MR718;DISJOINT_EXTEND;Test-41;2;2
MR1064;CONJUNCTIVE_CONTRACT;Test-64;2;2
MR967;CONJUNCTIVE_CONTRACT;Test-58;1;7
MR824;CONJUNCTIVE_CONTRACT;Test-49;2;13
MR797;CONJUNCTIVE_CONTRACT;Test-46;2;3
MR60;CONJUNCTIVE_EXTEND;Test-04;1;1
MR507;CONJUNCTIVE_CONTRACT;Test-27;1;2
MR192;CONJUNCTIVE_CONTRACT;Test-10;1;8
MR566;CONJUNCTIVE_CONTRACT;Test-31;1;9
MR249;CONJUNCTIVE_CONTRACT;Test-13;3;10
MR212;CONJUNCTIVE_CONTRACT;Test-11;1;5
MR686;CONJUNCTIVE_CONTRACT;Test-39;1;5
MR416;CONJUNCTIVE_EXTEND;Test-22;1;1
MR370;COMPLETE_EXTEND;Test-19;2;2
MR176;CONJUNCTIVE_EXTEND;Test-09;1;1
MR470;CONJUNCTIVE_CONTRACT;Test-25;1;2
MR183;DISJOINT_EXTEND;Test-09;1;1
MR337;CONJUNCTIVE_CONTRACT;Test-18;2;5
MR504;CONJUNCTIVE_CONTRACT;Test-27;1;3
MR1013;CONJUNCTIVE_CONTRACT;Test-61;1;3
MR706;SHUFFLING_EXTEND;Test-40;1;1
MR592;CONJUNCTIVE_CONTRACT;Test-32;1;7
MR768;CONJUNCTIVE_CONTRACT;Test-44;1;10
MR888;CONJUNCTIVE_CONTRACT;Test-53;1;1
MR589;CONJUNCTIVE_CONTRACT;Test-32;2;2
MR79;CONJUNCTIVE_CONTRACT;Test-05;1;5
MR847;CONJUNCTIVE_CONTRACT;Test-50;3;6
MR635;SHUFFLING_EXTEND;Test-35;5;5
MR247;CONJUNCTIVE_CONTRACT;Test-13;1;8
MR904;DISJOINT_EXTEND;Test-53;1;1
MR237;CONJUNCTIVE_CONTRACT;Test-12;2;7
MR178;CONJUNCTIVE_EXTEND;Test-09;1;2
MR265;DISJOINT_EXTEND;Test-13;1;1
MR0;CONJUNCTIVE_CONTRACT;Test-01;1;2
MR690;CONJUNCTIVE_CONTRACT;Test-39;1;6
MR281;CONJUNCTIVE_CONTRACT;Test-14;2;2
MR902;DISJOINT_EXTEND;Test-53;1;1
MR38;CONJUNCTIVE_CONTRACT;Test-03;1;3
MR584;CONJUNCTIVE_CONTRACT;Test-32;3;11
MR320;EQUIVALENCE_EXTEND;Test-16;1;1
MR543;SHUFFLING_EXTEND;Test-29;3;3
MR413;CONJUNCTIVE_CONTRACT;Test-22;3;3
MR71;EQUIVALENCE_EXTEND;Test-04;1;2
MR419;SHUFFLING_CONTRACT;Test-22;1;1
MR250;CONJUNCTIVE_CONTRACT;Test-13;2;10
MR794;DISJOINT_EXTEND;Test-45;2;2
MR644;CONJUNCTIVE_CONTRACT;Test-36;2;3
MR643;CONJUNCTIVE_CONTRACT;Test-36;1;1
MR1002;DISJOINT_EXTEND;Test-60;2;2
MR449;CONJUNCTIVE_CONTRACT;Test-24;2;8
MR476;CONJUNCTIVE_CONTRACT;Test-25;3;5
MR474;CONJUNCTIVE_CONTRACT;Test-25;1;1
MR835;DISJOINT_EXTEND;Test-49;2;2
MR144;EQUIVALENCE_EXTEND;Test-07;1;3
MR63;CONJUNCTIVE_EXTEND;Test-04;1;2
MR1008;CONJUNCTIVE_CONTRACT;Test-61;1;1
MR526;DISJOINT_EXTEND;Test-28;2;2
MR771;CONJUNCTIVE_CONTRACT;Test-44;1;1
MR812;CONJUNCTIVE_CONTRACT;Test-47;2;4
MR816;CONJUNCTIVE_CONTRACT;Test-48;1;2
MR1048;EQUIVALENCE_EXTEND;Test-62;1;4
MR752;CONJUNCTIVE_EXTEND;Test-43;1;3
MR631;CONJUNCTIVE_CONTRACT;Test-35;1;1
MR448;CONJUNCTIVE_CONTRACT;Test-24;1;1
MR738;DISJOINT_EXTEND;Test-42;1;1
MR939;CONJUNCTIVE_CONTRACT;Test-56;1;6
MR252;CONJUNCTIVE_CONTRACT;Test-13;2;11
MR611;CONJUNCTIVE_EXTEND;Test-33;1;1
MR251;CONJUNCTIVE_CONTRACT;Test-13;1;10
MR342;CONJUNCTIVE_CONTRACT;Test-18;2;4
MR169;EQUIVALENCE_EXTEND;Test-08;2;3
MR854;CONJUNCTIVE_CONTRACT;Test-50;3;6
MR913;CONJUNCTIVE_CONTRACT;Test-54;3;5
MR1069;DISJOINT_EXTEND;Test-64;1;1
MR905;COMPLETE_EXTEND;Test-53;2;2
MR112;CONJUNCTIVE_EXTEND;Test-06;1;1
MR141;COMPLETE_EXTEND;Test-07;2;2
MR676;CONJUNCTIVE_CONTRACT;Test-38;3;4
MR359;CONJUNCTIVE_CONTRACT;Test-19;1;6
MR50;DISJOINT_EXTEND;Test-03;1;1
MR1066;CONJUNCTIVE_CONTRACT;Test-64;4;10
MR853;CONJUNCTIVE_CONTRACT;Test-50;2;6
MR680;CONJUNCTIVE_CONTRACT;Test-39;1;1
MR49;DISJOINT_EXTEND;Test-03;2;2
MR73;CONJUNCTIVE_CONTRACT;Test-05;2;12
MR238;CONJUNCTIVE_CONTRACT;Test-12;5;7
MR347;CONJUNCTIVE_CONTRACT;Test-18;3;5
MR587;CONJUNCTIVE_CONTRACT;Test-32;1;11
MR869;CONJUNCTIVE_CONTRACT;Test-52;1;2
MR938;CONJUNCTIVE_CONTRACT;Test-56;1;5
MR1039;CONJUNCTIVE_EXTEND;Test-62;2;4
MR436;SHUFFLING_CONTRACT;Test-23;1;1
MR720;CONJUNCTIVE_CONTRACT;Test-42;1;3
MR315;DISJOINT_EXTEND;Test-16;1;1
MR331;SHUFFLING_EXTEND;Test-17;4;4
