MR;Type;STC;FUTCs;LocalDistance
MR66;DISJOINT_EXTEND;Test-13;1;1
MR27;EQUIVALENCE_EXTEND;Test-05;1;1
MR256;EQUIVALENCE_EXTEND;Test-62;1;1
MR16;DISJOINT_EXTEND;Test-04;1;1
MR14;DISJOINT_EXTEND;Test-04;1;1
MR225;DISJOINT_EXTEND;Test-55;1;1
MR41;DISJOINT_EXTEND;Test-08;1;1
MR187;EQUIVALENCE_EXTEND;Test-42;1;1
MR134;DISJOINT_EXTEND;Test-29;1;1
MR108;EQUIVALENCE_EXTEND;Test-23;1;2
MR0;EQUIVALENCE_EXTEND;Test-01;1;4
MR204;DISJOINT_EXTEND;Test-48;1;1
MR142;EQUIVALENCE_EXTEND;Test-31;1;1
MR205;DISJOINT_EXTEND;Test-48;2;2
MR251;EQUIVALENCE_EXTEND;Test-61;1;1
MR47;DISJOINT_EXTEND;Test-09;2;2
MR141;EQUIVALENCE_EXTEND;Test-31;2;3
MR82;DISJOINT_EXTEND;Test-16;1;1
MR240;DISJOINT_EXTEND;Test-59;1;1
MR114;DISJOINT_EXTEND;Test-24;1;1
MR79;DISJOINT_EXTEND;Test-16;1;1
MR179;DISJOINT_EXTEND;Test-41;1;1
MR136;EQUIVALENCE_EXTEND;Test-29;1;2
MR86;DISJOINT_EXTEND;Test-18;2;2
MR124;EQUIVALENCE_EXTEND;Test-26;1;1
MR160;EQUIVALENCE_EXTEND;Test-33;1;2
MR45;EQUIVALENCE_EXTEND;Test-08;1;1
MR22;DISJOINT_EXTEND;Test-05;1;1
MR113;DISJOINT_EXTEND;Test-24;1;1
MR222;DISJOINT_EXTEND;Test-53;1;1
MR226;DISJOINT_EXTEND;Test-55;1;1
MR104;DISJOINT_EXTEND;Test-23;1;1
MR217;DISJOINT_EXTEND;Test-52;1;1
MR85;EQUIVALENCE_EXTEND;Test-16;1;3
MR120;DISJOINT_EXTEND;Test-26;1;1
MR189;DISJOINT_EXTEND;Test-43;1;1
MR60;DISJOINT_EXTEND;Test-11;1;1
MR180;DISJOINT_EXTEND;Test-41;1;1
MR117;DISJOINT_EXTEND;Test-25;1;1
MR74;DISJOINT_EXTEND;Test-15;1;1
MR253;DISJOINT_EXTEND;Test-62;2;2
MR166;DISJOINT_EXTEND;Test-35;1;1
MR174;DISJOINT_EXTEND;Test-39;1;1
MR181;DISJOINT_EXTEND;Test-42;1;1
MR242;EQUIVALENCE_EXTEND;Test-59;1;2
MR51;EQUIVALENCE_EXTEND;Test-09;1;1
MR15;DISJOINT_EXTEND;Test-04;1;1
MR89;DISJOINT_EXTEND;Test-19;2;2
MR197;DISJOINT_EXTEND;Test-44;2;2
MR233;EQUIVALENCE_EXTEND;Test-56;1;3
MR192;EQUIVALENCE_EXTEND;Test-43;1;2
MR185;EQUIVALENCE_EXTEND;Test-42;1;2
MR32;EQUIVALENCE_EXTEND;Test-06;1;2
MR1;EQUIVALENCE_EXTEND;Test-01;1;5
MR246;DISJOINT_EXTEND;Test-61;1;1
MR36;EQUIVALENCE_EXTEND;Test-07;2;5
MR122;DISJOINT_EXTEND;Test-26;1;1
MR190;DISJOINT_EXTEND;Test-43;1;1
MR249;DISJOINT_EXTEND;Test-61;2;2
MR112;DISJOINT_EXTEND;Test-24;1;1
MR146;DISJOINT_EXTEND;Test-32;2;2
MR165;DISJOINT_EXTEND;Test-35;1;1
MR9;DISJOINT_EXTEND;Test-03;1;1
MR38;EQUIVALENCE_EXTEND;Test-07;1;3
MR99;EQUIVALENCE_EXTEND;Test-20;2;5
MR203;DISJOINT_EXTEND;Test-45;2;2
MR100;DISJOINT_EXTEND;Test-21;2;2
MR34;DISJOINT_EXTEND;Test-07;1;1
MR21;DISJOINT_EXTEND;Test-05;2;2
MR67;DISJOINT_EXTEND;Test-13;1;1
MR130;EQUIVALENCE_EXTEND;Test-28;1;3
MR254;DISJOINT_EXTEND;Test-62;1;1
MR55;EQUIVALENCE_EXTEND;Test-10;1;2
MR169;DISJOINT_EXTEND;Test-37;1;1
MR140;DISJOINT_EXTEND;Test-31;1;1
MR186;EQUIVALENCE_EXTEND;Test-42;1;3
MR229;DISJOINT_EXTEND;Test-56;1;1
MR28;EQUIVALENCE_EXTEND;Test-05;1;2
MR173;EQUIVALENCE_EXTEND;Test-37;1;1
MR238;DISJOINT_EXTEND;Test-59;1;1
MR128;DISJOINT_EXTEND;Test-28;1;1
MR195;EQUIVALENCE_EXTEND;Test-43;1;1
MR223;EQUIVALENCE_EXTEND;Test-53;1;1
MR216;DISJOINT_EXTEND;Test-52;1;1
MR48;DISJOINT_EXTEND;Test-09;1;1
MR206;DISJOINT_EXTEND;Test-49;1;1
MR144;EQUIVALENCE_EXTEND;Test-31;2;2
MR29;DISJOINT_EXTEND;Test-06;1;1
MR105;DISJOINT_EXTEND;Test-23;1;1
MR133;DISJOINT_EXTEND;Test-29;1;1
MR102;DISJOINT_EXTEND;Test-23;1;1
MR40;EQUIVALENCE_EXTEND;Test-07;1;4
MR119;DISJOINT_EXTEND;Test-26;1;1
MR11;DISJOINT_EXTEND;Test-03;1;1
MR8;DISJOINT_EXTEND;Test-03;2;2
MR24;DISJOINT_EXTEND;Test-05;1;1
MR62;DISJOINT_EXTEND;Test-12;1;1
MR25;EQUIVALENCE_EXTEND;Test-05;2;2
MR177;DISJOINT_EXTEND;Test-40;2;2
MR218;DISJOINT_EXTEND;Test-52;1;1
MR245;DISJOINT_EXTEND;Test-61;1;1
MR107;EQUIVALENCE_EXTEND;Test-23;1;2
MR63;DISJOINT_EXTEND;Test-12;2;2
MR18;DISJOINT_EXTEND;Test-04;1;1
MR239;DISJOINT_EXTEND;Test-59;2;2
MR150;EQUIVALENCE_EXTEND;Test-32;1;2
MR109;EQUIVALENCE_EXTEND;Test-23;1;1
MR163;DISJOINT_EXTEND;Test-34;1;1
MR207;DISJOINT_EXTEND;Test-49;1;1
MR176;DISJOINT_EXTEND;Test-40;1;1
MR77;EQUIVALENCE_EXTEND;Test-15;2;3
MR64;EQUIVALENCE_EXTEND;Test-12;1;1
MR194;EQUIVALENCE_EXTEND;Test-43;1;1
MR208;DISJOINT_EXTEND;Test-49;1;1
MR118;DISJOINT_EXTEND;Test-25;2;2
MR76;EQUIVALENCE_EXTEND;Test-15;1;1
MR243;DISJOINT_EXTEND;Test-60;2;2
MR228;DISJOINT_EXTEND;Test-56;1;1
MR231;EQUIVALENCE_EXTEND;Test-56;1;2
MR59;EQUIVALENCE_EXTEND;Test-10;1;1
MR153;DISJOINT_EXTEND;Test-33;1;1
MR198;DISJOINT_EXTEND;Test-44;2;2
MR252;DISJOINT_EXTEND;Test-62;1;1
MR184;DISJOINT_EXTEND;Test-42;1;1
MR158;EQUIVALENCE_EXTEND;Test-33;2;3
MR210;DISJOINT_EXTEND;Test-49;2;2
MR170;DISJOINT_EXTEND;Test-37;1;1
MR42;DISJOINT_EXTEND;Test-08;2;2
MR121;DISJOINT_EXTEND;Test-26;2;2
MR171;EQUIVALENCE_EXTEND;Test-37;2;3
MR127;DISJOINT_EXTEND;Test-27;1;1
MR221;DISJOINT_EXTEND;Test-53;1;1
MR68;DISJOINT_EXTEND;Test-13;2;2
MR72;DISJOINT_EXTEND;Test-15;2;2
MR2;EQUIVALENCE_EXTEND;Test-01;1;7
MR159;EQUIVALENCE_EXTEND;Test-33;1;2
MR65;DISJOINT_EXTEND;Test-13;1;1
MR78;EQUIVALENCE_EXTEND;Test-15;1;2
MR227;DISJOINT_EXTEND;Test-55;2;2
MR115;EQUIVALENCE_EXTEND;Test-24;1;1
MR73;DISJOINT_EXTEND;Test-15;1;1
MR4;EQUIVALENCE_EXTEND;Test-01;2;3
MR33;EQUIVALENCE_EXTEND;Test-06;1;2
