MR;Type;STC;FUTCs;LocalDistance
MR268;EQUIVALENCE_EXTEND;Test-62;1;2
MR63;DISJOINT_EXTEND;Test-13;2;2
MR48;EQUIVALENCE_EXTEND;Test-09;1;1
MR223;DISJOINT_EXTEND;Test-51;2;2
MR161;EQUIVALENCE_EXTEND;Test-32;1;2
MR111;DISJOINT_EXTEND;Test-24;2;2
MR73;EQUIVALENCE_EXTEND;Test-15;1;1
MR261;DISJOINT_EXTEND;Test-61;1;1
MR239;DISJOINT_EXTEND;Test-56;2;2
MR181;DISJOINT_EXTEND;Test-41;2;2
MR24;EQUIVALENCE_EXTEND;Test-05;1;1
MR71;DISJOINT_EXTEND;Test-15;2;2
MR136;DISJOINT_EXTEND;Test-29;1;1
MR198;EQUIVALENCE_EXTEND;Test-43;2;4
MR253;DISJOINT_EXTEND;Test-59;1;1
MR200;DISJOINT_EXTEND;Test-44;2;2
MR162;EQUIVALENCE_EXTEND;Test-32;1;1
MR149;EQUIVALENCE_EXTEND;Test-31;1;5
MR49;DISJOINT_EXTEND;Test-10;1;1
MR210;EQUIVALENCE_EXTEND;Test-48;1;1
MR15;DISJOINT_EXTEND;Test-04;1;1
MR137;DISJOINT_EXTEND;Test-29;1;1
MR222;EQUIVALENCE_EXTEND;Test-50;1;1
MR236;EQUIVALENCE_EXTEND;Test-53;1;1
MR247;EQUIVALENCE_EXTEND;Test-56;1;3
MR36;EQUIVALENCE_EXTEND;Test-07;3;4
MR38;DISJOINT_EXTEND;Test-08;1;1
MR135;EQUIVALENCE_EXTEND;Test-28;2;4
MR82;DISJOINT_EXTEND;Test-18;1;1
MR117;DISJOINT_EXTEND;Test-25;1;1
MR244;EQUIVALENCE_EXTEND;Test-56;1;2
MR194;DISJOINT_EXTEND;Test-43;2;2
MR226;DISJOINT_EXTEND;Test-52;1;1
MR260;DISJOINT_EXTEND;Test-61;1;1
MR168;DISJOINT_EXTEND;Test-34;1;1
MR202;DISJOINT_EXTEND;Test-44;1;1
MR68;DISJOINT_EXTEND;Test-15;1;1
MR84;DISJOINT_EXTEND;Test-19;1;1
MR187;DISJOINT_EXTEND;Test-42;1;1
MR7;DISJOINT_EXTEND;Test-03;1;1
MR89;DISJOINT_EXTEND;Test-20;1;1
MR100;DISJOINT_EXTEND;Test-23;1;1
MR95;EQUIVALENCE_EXTEND;Test-20;1;2
MR231;EQUIVALENCE_EXTEND;Test-52;1;2
MR108;DISJOINT_EXTEND;Test-24;2;2
MR59;DISJOINT_EXTEND;Test-12;2;2
MR263;EQUIVALENCE_EXTEND;Test-61;1;2
MR182;DISJOINT_EXTEND;Test-41;1;1
MR249;DISJOINT_EXTEND;Test-58;2;2
MR224;DISJOINT_EXTEND;Test-51;1;1
MR102;DISJOINT_EXTEND;Test-23;1;1
MR39;DISJOINT_EXTEND;Test-08;2;2
MR218;EQUIVALENCE_EXTEND;Test-49;1;2
MR129;DISJOINT_EXTEND;Test-28;1;1
MR37;EQUIVALENCE_EXTEND;Test-07;1;3
MR88;EQUIVALENCE_EXTEND;Test-19;1;1
MR208;DISJOINT_EXTEND;Test-48;1;1
MR173;DISJOINT_EXTEND;Test-37;1;1
MR130;DISJOINT_EXTEND;Test-28;1;1
MR8;DISJOINT_EXTEND;Test-03;1;1
MR34;EQUIVALENCE_EXTEND;Test-07;1;2
MR180;DISJOINT_EXTEND;Test-40;1;1
MR267;EQUIVALENCE_EXTEND;Test-62;1;3
MR225;DISJOINT_EXTEND;Test-52;1;1
MR112;DISJOINT_EXTEND;Test-24;1;1
MR124;EQUIVALENCE_EXTEND;Test-26;1;1
MR27;DISJOINT_EXTEND;Test-06;1;1
MR41;DISJOINT_EXTEND;Test-08;1;1
MR220;EQUIVALENCE_EXTEND;Test-49;2;5
MR0;EQUIVALENCE_EXTEND;Test-01;1;2
MR33;EQUIVALENCE_EXTEND;Test-07;1;4
MR238;DISJOINT_EXTEND;Test-55;1;1
MR216;EQUIVALENCE_EXTEND;Test-49;1;3
MR65;EQUIVALENCE_EXTEND;Test-13;1;1
MR142;EQUIVALENCE_EXTEND;Test-29;1;1
MR109;DISJOINT_EXTEND;Test-24;1;1
MR26;DISJOINT_EXTEND;Test-06;1;1
MR23;EQUIVALENCE_EXTEND;Test-05;1;2
MR90;DISJOINT_EXTEND;Test-20;1;1
MR235;EQUIVALENCE_EXTEND;Test-53;1;3
MR240;DISJOINT_EXTEND;Test-56;1;1
MR270;DISJOINT_EXTEND;Test-64;1;1
MR138;DISJOINT_EXTEND;Test-29;2;2
MR58;EQUIVALENCE_EXTEND;Test-11;1;1
MR183;DISJOINT_EXTEND;Test-41;1;1
MR221;EQUIVALENCE_EXTEND;Test-49;1;4
MR10;DISJOINT_EXTEND;Test-03;1;1
MR230;EQUIVALENCE_EXTEND;Test-52;1;1
MR153;DISJOINT_EXTEND;Test-32;1;1
MR201;DISJOINT_EXTEND;Test-44;1;1
MR9;DISJOINT_EXTEND;Test-03;1;1
MR43;EQUIVALENCE_EXTEND;Test-08;1;1
MR70;DISJOINT_EXTEND;Test-15;1;1
MR123;EQUIVALENCE_EXTEND;Test-26;1;2
MR213;DISJOINT_EXTEND;Test-49;2;2
MR177;EQUIVALENCE_EXTEND;Test-37;1;1
MR57;DISJOINT_EXTEND;Test-11;1;1
MR241;DISJOINT_EXTEND;Test-56;1;1
MR31;DISJOINT_EXTEND;Test-07;1;1
MR67;DISJOINT_EXTEND;Test-15;1;1
MR50;DISJOINT_EXTEND;Test-10;1;1
MR44;DISJOINT_EXTEND;Test-09;1;1
MR209;EQUIVALENCE_EXTEND;Test-48;1;1
MR18;EQUIVALENCE_EXTEND;Test-04;1;1
MR211;DISJOINT_EXTEND;Test-49;1;1
MR64;DISJOINT_EXTEND;Test-13;2;2
MR20;DISJOINT_EXTEND;Test-05;2;2
MR188;DISJOINT_EXTEND;Test-42;1;1
MR196;DISJOINT_EXTEND;Test-43;1;1
MR119;DISJOINT_EXTEND;Test-26;1;1
MR150;EQUIVALENCE_EXTEND;Test-31;1;1
MR40;DISJOINT_EXTEND;Test-08;1;1
MR159;EQUIVALENCE_EXTEND;Test-32;1;3
MR266;DISJOINT_EXTEND;Test-62;1;1
MR127;DISJOINT_EXTEND;Test-27;2;2
MR106;EQUIVALENCE_EXTEND;Test-23;2;2
MR207;DISJOINT_EXTEND;Test-48;2;2
MR160;EQUIVALENCE_EXTEND;Test-32;1;3
MR11;EQUIVALENCE_EXTEND;Test-03;1;1
MR166;EQUIVALENCE_EXTEND;Test-33;2;3
MR30;EQUIVALENCE_EXTEND;Test-06;1;2
MR178;DISJOINT_EXTEND;Test-39;2;2
MR185;DISJOINT_EXTEND;Test-42;2;2
MR14;DISJOINT_EXTEND;Test-04;1;1
MR204;DISJOINT_EXTEND;Test-44;1;1
MR12;DISJOINT_EXTEND;Test-04;1;1
MR1;EQUIVALENCE_EXTEND;Test-01;1;9
MR46;DISJOINT_EXTEND;Test-09;1;1
MR157;EQUIVALENCE_EXTEND;Test-32;1;2
MR134;EQUIVALENCE_EXTEND;Test-28;2;2
MR22;DISJOINT_EXTEND;Test-05;2;2
MR29;EQUIVALENCE_EXTEND;Test-06;1;1
MR227;DISJOINT_EXTEND;Test-52;1;1
MR141;EQUIVALENCE_EXTEND;Test-29;1;1
MR3;EQUIVALENCE_EXTEND;Test-01;2;7
MR75;DISJOINT_EXTEND;Test-16;1;1
MR189;EQUIVALENCE_EXTEND;Test-42;1;1
MR35;EQUIVALENCE_EXTEND;Test-07;1;4
MR6;DISJOINT_EXTEND;Test-02;2;2
MR152;EQUIVALENCE_EXTEND;Test-31;1;2
MR16;DISJOINT_EXTEND;Test-04;1;1
MR53;EQUIVALENCE_EXTEND;Test-10;2;4
MR186;DISJOINT_EXTEND;Test-42;1;1
MR237;EQUIVALENCE_EXTEND;Test-53;1;2
MR78;EQUIVALENCE_EXTEND;Test-16;1;1
MR74;DISJOINT_EXTEND;Test-16;2;2
MR93;EQUIVALENCE_EXTEND;Test-20;1;1
MR92;DISJOINT_EXTEND;Test-20;1;1
MR25;EQUIVALENCE_EXTEND;Test-05;1;1
MR5;DISJOINT_EXTEND;Test-02;1;1
