MR;Type;STC;FUTCs;LocalDistance
MR99;EQUIVALENCE_EXTEND;Test-20;3;4
MR232;DISJOINT_EXTEND;Test-56;1;1
MR253;DISJOINT_EXTEND;Test-62;1;1
MR12;DISJOINT_EXTEND;Test-03;1;1
MR9;DISJOINT_EXTEND;Test-03;1;1
MR200;DISJOINT_EXTEND;Test-48;2;2
MR199;DISJOINT_EXTEND;Test-48;1;1
MR0;EQUIVALENCE_EXTEND;Test-01;2;7
MR149;DISJOINT_EXTEND;Test-32;1;1
MR154;DISJOINT_EXTEND;Test-33;1;1
MR173;DISJOINT_EXTEND;Test-39;2;2
MR106;DISJOINT_EXTEND;Test-23;1;1
MR260;DISJOINT_EXTEND;Test-64;2;2
MR11;DISJOINT_EXTEND;Test-03;2;2
MR1;EQUIVALENCE_EXTEND;Test-01;1;7
MR179;DISJOINT_EXTEND;Test-42;1;1
MR225;EQUIVALENCE_EXTEND;Test-53;1;1
MR127;DISJOINT_EXTEND;Test-27;1;1
MR180;DISJOINT_EXTEND;Test-42;1;1
MR217;EQUIVALENCE_EXTEND;Test-52;2;5
MR134;DISJOINT_EXTEND;Test-29;1;1
MR194;DISJOINT_EXTEND;Test-44;1;1
MR162;DISJOINT_EXTEND;Test-35;2;2
MR113;DISJOINT_EXTEND;Test-24;1;1
MR19;DISJOINT_EXTEND;Test-04;1;1
MR247;DISJOINT_EXTEND;Test-61;2;2
MR116;DISJOINT_EXTEND;Test-24;1;1
MR125;EQUIVALENCE_EXTEND;Test-26;1;1
MR133;EQUIVALENCE_EXTEND;Test-28;1;3
MR211;DISJOINT_EXTEND;Test-51;1;1
MR114;DISJOINT_EXTEND;Test-24;1;1
MR174;DISJOINT_EXTEND;Test-40;1;1
MR155;DISJOINT_EXTEND;Test-33;1;1
MR28;EQUIVALENCE_EXTEND;Test-05;1;1
MR70;DISJOINT_EXTEND;Test-13;1;1
MR178;DISJOINT_EXTEND;Test-42;2;2
MR47;DISJOINT_EXTEND;Test-09;1;1
MR23;DISJOINT_EXTEND;Test-05;1;1
MR75;DISJOINT_EXTEND;Test-15;1;1
MR58;EQUIVALENCE_EXTEND;Test-10;1;1
MR92;EQUIVALENCE_EXTEND;Test-19;1;1
MR202;DISJOINT_EXTEND;Test-49;1;1
