MR;type;STC_id;STC_n_parameters;number_of_FUTCs;local_distance;STC;FUTC_1;FUTC_2;FUTC_3;FUTC_4;FUTC_5;FUTC_6
MR268;CONJUNCTIVE_CONTRACT;Test-12;9;2;8;[sortBy, price, specialOffers, tag, selectedTypes, numberOfPlayers, feature, vrSupport, os];[feature, numberOfPlayers, os, selectedTypes, specialOffers, tag, vrSupport];[price];[];[];[];[]
MR56;CONJUNCTIVE_CONTRACT;Test-03;11;4;11;[term, specialOffers, tag, selectedTypes, numberOfPlayers, feature, vrSupport, headsets, input, playArea, language];[language];[headsets, selectedTypes, vrSupport];[numberOfPlayers, playArea, specialOffers, term];[feature, input, tag];[];[]
MR384;CONJUNCTIVE_EXTEND;Test-16;11;3;3;[term, sortBy, price, specialOffers, tag, selectedTypes, numberOfPlayers, vrSupport, headsets, input, playArea];[feature];[language];[os];[];[];[]
MR107;CONJUNCTIVE_EXTEND;Test-05;6;2;7;[price, selectedTypes, numberOfPlayers, vrSupport, os, language];[feature, headsets, input, specialOffers, tag];[playArea, term];[];[];[];[]
MR22;SHUFFLING_CONTRACT;Test-01;7;1;1;[term, sortBy, price, feature, vrSupport, headsets, language];[sortBy];[];[];[];[];[]
MR319;CONJUNCTIVE_CONTRACT;Test-14;9;1;8;[term, sortBy, specialOffers, selectedTypes, feature, vrSupport, playArea, os, language];[feature, language, os, playArea, selectedTypes, specialOffers, term, vrSupport];[];[];[];[];[]
MR360;CONJUNCTIVE_EXTEND;Test-15;7;5;7;[term, sortBy, numberOfPlayers, feature, vrSupport, input, playArea];[selectedTypes, specialOffers];[headsets, language];[os];[tag];[price];[]
MR79;CONJUNCTIVE_CONTRACT;Test-04;5;3;4;[sortBy, price, tag, numberOfPlayers, feature];[numberOfPlayers, price];[feature];[tag];[];[];[]
MR132;CONJUNCTIVE_CONTRACT;Test-06;10;3;9;[term, sortBy, price, specialOffers, numberOfPlayers, feature, headsets, input, playArea, os];[feature, input, numberOfPlayers, specialOffers, term];[headsets, playArea, price];[os];[];[];[]
MR405;CONJUNCTIVE_EXTEND;Test-17;6;1;7;[term, specialOffers, feature, vrSupport, os, language];[headsets, input, numberOfPlayers, playArea, price, selectedTypes, tag];[];[];[];[];[]
MR102;CONJUNCTIVE_CONTRACT;Test-05;6;2;6;[price, selectedTypes, numberOfPlayers, vrSupport, os, language];[selectedTypes];[language, numberOfPlayers, os, price, vrSupport];[];[];[];[]
MR109;CONJUNCTIVE_EXTEND;Test-05;6;3;7;[price, selectedTypes, numberOfPlayers, vrSupport, os, language];[input, playArea, specialOffers];[feature, headsets, tag];[term];[];[];[]
MR112;CONJUNCTIVE_EXTEND;Test-05;6;2;7;[price, selectedTypes, numberOfPlayers, vrSupport, os, language];[playArea, tag];[feature, headsets, input, specialOffers, term];[];[];[];[]
MR321;CONJUNCTIVE_CONTRACT;Test-14;9;2;8;[term, sortBy, specialOffers, selectedTypes, feature, vrSupport, playArea, os, language];[feature, language, os, selectedTypes, specialOffers, term];[playArea, vrSupport];[];[];[];[]
MR313;CONJUNCTIVE_EXTEND;Test-13;8;3;5;[term, price, specialOffers, selectedTypes, numberOfPlayers, feature, headsets, os];[playArea, vrSupport];[input, tag];[language];[];[];[]
MR320;CONJUNCTIVE_CONTRACT;Test-14;9;4;8;[term, sortBy, specialOffers, selectedTypes, feature, vrSupport, playArea, os, language];[specialOffers, term, vrSupport];[language, os, playArea];[feature];[selectedTypes];[];[]
MR27;CONJUNCTIVE_CONTRACT;Test-02;8;4;7;[sortBy, specialOffers, tag, selectedTypes, numberOfPlayers, input, playArea, os];[specialOffers];[numberOfPlayers, tag];[selectedTypes];[input, os, playArea];[];[]
MR194;CONJUNCTIVE_CONTRACT;Test-09;8;2;7;[term, sortBy, price, tag, selectedTypes, input, playArea, os];[input, playArea, price, selectedTypes, tag, term];[os];[];[];[];[]
MR323;CONJUNCTIVE_CONTRACT;Test-14;9;2;8;[term, sortBy, specialOffers, selectedTypes, feature, vrSupport, playArea, os, language];[language, os, specialOffers];[feature, playArea, selectedTypes, term, vrSupport];[];[];[];[]
MR254;CONJUNCTIVE_CONTRACT;Test-11;10;3;9;[sortBy, price, specialOffers, tag, selectedTypes, feature, headsets, input, playArea, os];[feature, playArea, price, specialOffers, tag];[os, selectedTypes];[headsets, input];[];[];[]
MR312;CONJUNCTIVE_EXTEND;Test-13;8;3;5;[term, price, specialOffers, selectedTypes, numberOfPlayers, feature, headsets, os];[input, tag, vrSupport];[playArea];[language];[];[];[]
