MR;type;STC_id;STC_n_parameters;number_of_FUTCs;local_distance;source_parameters_list;added_parameters_futc_1;removed_parameters_futc_1;changed_parameters_futc_1;added_parameters_futc_2;removed_parameters_futc_2;changed_parameters_futc_2;added_parameters_futc_3;removed_parameters_futc_3;changed_parameters_futc_3;added_parameters_futc_4;removed_parameters_futc_4;changed_parameters_futc_4;added_parameters_futc_5;removed_parameters_futc_5;changed_parameters_futc_5;added_parameters_futc_6;removed_parameters_futc_6;changed_parameters_futc_6
MR153;CONJUNCTIVE_CONTRACT;Test-07;10;4;6;[sortBy, projectsWeLove, following, projectsIHaveBacked, recommendedForMe, filterProjects, amountPledged, goal, category, subcategory];[];[following, goal, subcategory];[];[];[amountPledged];[];[];[projectsIHaveBacked];[];[];[filterProjects];[];[];[];[];[];[];[]
MR9;CONJUNCTIVE_CONTRACT;Test-01;10;4;6;[searchQuery, sortBy, projectsWeLove, savedProjects, following, recommendedForMe, filterProjects, amountPledged, category, subcategory];[];[searchQuery];[];[];[filterProjects, following, subcategory];[];[];[savedProjects];[];[];[amountPledged];[];[];[];[];[];[];[]
MR414;CONJUNCTIVE_CONTRACT;Test-18;8;2;4;[searchQuery, sortBy, projectsWeLove, savedProjects, recommendedForMe, filterProjects, goal, category];[];[searchQuery];[];[];[filterProjects, goal, savedProjects];[];[];[];[];[];[];[];[];[];[];[];[];[]
MR371;CONJUNCTIVE_CONTRACT;Test-16;13;2;9;[searchQuery, location, sortBy, projectsWeLove, savedProjects, projectsIHaveBacked, recommendedForMe, filterProjects, amountPledged, goal, raised, category, subcategory];[];[amountPledged, filterProjects, location, projectsIHaveBacked, raised, savedProjects, searchQuery, subcategory];[];[];[goal];[];[];[];[];[];[];[];[];[];[];[];[];[]
MR157;CONJUNCTIVE_CONTRACT;Test-07;10;4;6;[sortBy, projectsWeLove, following, projectsIHaveBacked, recommendedForMe, filterProjects, amountPledged, goal, category, subcategory];[];[filterProjects, goal];[];[];[following, projectsIHaveBacked];[];[];[subcategory];[];[];[amountPledged];[];[];[];[];[];[];[]
MR73;DISJOINT_EXTEND;Test-03;9;1;1;[searchQuery, location, sortBy, projectsWeLove, projectsIHaveBacked:showProjectsIHaveNotBacked, recommendedForMe, raised, category, subcategory];[];[];[projectsIHaveBacked:showProjectsIHaveBacked];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
MR394;CONJUNCTIVE_CONTRACT;Test-17;10;2;6;[location, sortBy, projectsWeLove, savedProjects, following, projectsIHaveBacked, recommendedForMe, amountPledged, raised, category];[];[amountPledged, following, location, projectsIHaveBacked, raised];[];[];[savedProjects];[];[];[];[];[];[];[];[];[];[];[];[];[]
MR427;CONJUNCTIVE_EXTEND;Test-18;8;2;6;[searchQuery, sortBy, projectsWeLove, savedProjects, recommendedForMe, filterProjects, goal, category];[amountPledged, following, location, raised, subcategory];[];[];[projectsIHaveBacked];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
MR403;CONJUNCTIVE_EXTEND;Test-17;10;2;4;[location, sortBy, projectsWeLove, savedProjects, following, projectsIHaveBacked, recommendedForMe, amountPledged, raised, category];[filterProjects, searchQuery];[];[];[goal, subcategory];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
MR67;CONJUNCTIVE_EXTEND;Test-03;9;2;5;[searchQuery, location, sortBy, projectsWeLove, projectsIHaveBacked, recommendedForMe, raised, category, subcategory];[filterProjects];[];[];[amountPledged, following, goal, savedProjects];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
MR160;DISJOINT_EXTEND;Test-07;10;3;3;[sortBy, projectsWeLove, following, projectsIHaveBacked, recommendedForMe, filterProjects, amountPledged, goal, category, subcategory:Video Games];[];[];[subcategory:Conceptual Art];[];[];[subcategory:Digital Art];[];[];[subcategory:Mixed Media];[];[];[];[];[];[];[];[];[]
MR163;DISJOINT_EXTEND;Test-07;10;2;2;[sortBy, projectsWeLove, following, projectsIHaveBacked, recommendedForMe, filterProjects:liveProjects, amountPledged, goal, category, subcategory];[];[];[filterProjects:successfulProjects];[];[];[filterProjects:upcomingProjects];[];[];[];[];[];[];[];[];[];[];[];[]
MR26;DISJOINT_EXTEND;Test-01;10;6;6;[searchQuery, sortBy, projectsWeLove, savedProjects, following, recommendedForMe, filterProjects, amountPledged, category:Games, subcategory];[];[];[category:All categories];[];[];[category:Art];[];[];[category:Comics];[];[];[category:Crafts];[];[];[category:Dance];[];[];[category:Design]
MR80;CONJUNCTIVE_CONTRACT;Test-04;11;3;7;[searchQuery, sortBy, projectsWeLove, savedProjects, projectsIHaveBacked, recommendedForMe, filterProjects, amountPledged, goal, category, subcategory];[];[goal];[];[];[amountPledged, savedProjects, subcategory];[];[];[filterProjects, projectsIHaveBacked, searchQuery];[];[];[];[];[];[];[];[];[];[]
