MR;type;STC_id;STC_n_parameters;number_of_FUTCs;local_distance;STC;FUTC_1;FUTC_2;FUTC_3;FUTC_4;FUTC_5;FUTC_6
MR342;DISJOINT_EXTEND;Test-12;10;3;3;[location, sortBy, projectsWeLove, savedProjects, following, recommendedForMe, filterProjects, amountPledged:<$1,000 pledged, category, subcategory];[amountPledged:$1,000 to $10,000 pledged];[amountPledged:$10,000 to $100,000 pledged];[amountPledged:$100,000 to $1,000,000 pledged];[];[];[]
MR42;CONJUNCTIVE_CONTRACT;Test-02;10;2;8;[location, sortBy, projectsWeLove, savedProjects, following, projectsIHaveBacked, recommendedForMe, goal, raised, category];[following, goal, location, projectsIHaveBacked, projectsWeLove, raised, savedProjects];[recommendedForMe];[];[];[];[]
MR486;DISJOINT_EXTEND;Test-17;10;1;1;[location, sortBy, projectsWeLove, savedProjects, following, projectsIHaveBacked, recommendedForMe, amountPledged, raised:<75% raised, category];[raised:75% to 100% raised];[];[];[];[];[]
MR1;CONJUNCTIVE_CONTRACT;Test-01;10;3;8;[searchQuery, sortBy, projectsWeLove, savedProjects, following, recommendedForMe, filterProjects, amountPledged, category, subcategory];[amountPledged, filterProjects, projectsWeLove, savedProjects, searchQuery, subcategory];[following];[recommendedForMe];[];[];[]
MR177;CONJUNCTIVE_CONTRACT;Test-07;10;2;8;[sortBy, projectsWeLove, following, projectsIHaveBacked, recommendedForMe, filterProjects, amountPledged, goal, category, subcategory];[amountPledged, filterProjects, following, projectsIHaveBacked, projectsWeLove, recommendedForMe, subcategory];[goal];[];[];[];[]
MR338;CONJUNCTIVE_EXTEND;Test-12;10;3;4;[location, sortBy, projectsWeLove, savedProjects, following, recommendedForMe, filterProjects, amountPledged, category, subcategory];[goal, searchQuery];[raised];[projectsIHaveBacked];[];[];[]
MR186;CONJUNCTIVE_CONTRACT;Test-07;10;3;8;[sortBy, projectsWeLove, following, projectsIHaveBacked, recommendedForMe, filterProjects, amountPledged, goal, category, subcategory];[following, goal, projectsIHaveBacked, projectsWeLove, recommendedForMe, subcategory];[filterProjects];[amountPledged];[];[];[]
MR433;CONJUNCTIVE_CONTRACT;Test-16;13;1;11;[searchQuery, location, sortBy, projectsWeLove, savedProjects, projectsIHaveBacked, recommendedForMe, filterProjects, amountPledged, goal, raised, category, subcategory];[amountPledged, filterProjects, goal, location, projectsIHaveBacked, projectsWeLove, raised, recommendedForMe, savedProjects, searchQuery, subcategory];[];[];[];[];[]
MR190;CONJUNCTIVE_EXTEND;Test-07;10;1;1;[sortBy, projectsWeLove, following, projectsIHaveBacked, recommendedForMe, filterProjects, amountPledged, goal, category, subcategory];[searchQuery];[];[];[];[];[]
MR132;CONJUNCTIVE_CONTRACT;Test-05;8;3;6;[searchQuery, sortBy, projectsWeLove, following, projectsIHaveBacked, recommendedForMe, filterProjects, category];[following, projectsIHaveBacked, recommendedForMe, searchQuery];[projectsWeLove];[filterProjects];[];[];[]
