MR;type;STC_id;STC_n_parameters;number_of_FUTCs;local_distance;STC;FUTC_1;FUTC_2;FUTC_3;FUTC_4;FUTC_5;FUTC_6
MR3;DISJOINT_EXTEND;Test-05;5;1;1;[search, uploadDate, fileTypes, language:Spanish, limit];[language:English];[];[];[];[];[]
MR0;DISJOINT_EXTEND;Test-01;4;1;1;[search, uploadDate, language:English, limit];[language:Spanish];[];[];[];[];[]
MR2;DISJOINT_EXTEND;Test-03;4;4;4;[search, fileTypes, language:English, limit];[language:Spanish];[language:Portuguese];[language:French];[language:Italian];[];[]
MR4;DISJOINT_EXTEND;Test-06;4;5;5;[search, uploadDate, language:Spanish, limit];[language:English];[language:Portuguese];[language:French];[language:Italian];[language:Dutch];[]
MR1;DISJOINT_EXTEND;Test-02;4;5;5;[search, fileTypes, language:Spanish, limit];[language:English];[language:Portuguese];[language:French];[language:Italian];[language:Dutch];[]
MR5;DISJOINT_EXTEND;Test-07;5;4;4;[search, uploadDate, fileTypes, language:English, limit];[language:Spanish];[language:Portuguese];[language:French];[language:Italian];[];[]
