MR;Type;STC;FUTCs;LocalDistance
MR6;CONJUNCTIVE_CONTRACT;Test-02;1;2
MR3;DISJOINT_EXTEND;Test-01;3;3
MR18;DISJOINT_EXTEND;Test-07;1;1
MR13;COMPLETE_EXTEND;Test-04;4;4
MR10;CONJUNCTIVE_EXTEND;Test-04;2;3
MR4;COMPLETE_EXTEND;Test-01;4;4
MR11;CONJUNCTIVE_EXTEND;Test-04;1;3
MR12;CONJUNCTIVE_EXTEND;Test-04;2;3
MR19;CONJUNCTIVE_CONTRACT;Test-08;2;2
MR2;CONJUNCTIVE_EXTEND;Test-01;1;1
MR14;CONJUNCTIVE_CONTRACT;Test-05;1;3
MR5;CONJUNCTIVE_CONTRACT;Test-02;2;2
MR9;DISJOINT_EXTEND;Test-03;6;6
MR8;DISJOINT_EXTEND;Test-02;5;5
MR23;CONJUNCTIVE_CONTRACT;Test-10;2;3
MR1;CONJUNCTIVE_CONTRACT;Test-01;2;2
MR17;DISJOINT_EXTEND;Test-06;4;4
MR22;CONJUNCTIVE_CONTRACT;Test-10;2;3
MR0;CONJUNCTIVE_CONTRACT;Test-01;1;2
MR7;CONJUNCTIVE_EXTEND;Test-02;1;1
MR21;CONJUNCTIVE_EXTEND;Test-08;1;1
MR16;DISJOINT_EXTEND;Test-05;5;5
MR24;DISJOINT_EXTEND;Test-10;3;3
MR20;CONJUNCTIVE_CONTRACT;Test-08;1;2
MR15;CONJUNCTIVE_CONTRACT;Test-05;2;3
