MR;Type;STC;FUTCs;LocalDistance
MR118;CONJUNCTIVE_EXTEND;Test-08;1;5
MR143;CONJUNCTIVE_EXTEND;Test-09;2;3
MR183;CONJUNCTIVE_CONTRACT;Test-12;4;6
MR275;CONJUNCTIVE_EXTEND;Test-17;2;6
MR119;CONJUNCTIVE_EXTEND;Test-08;2;5
MR76;SHUFFLING_CONTRACT;Test-05;1;1
MR159;CONJUNCTIVE_EXTEND;Test-10;3;4
MR45;SHUFFLING_EXTEND;Test-03;4;4
MR42;CONJUNCTIVE_EXTEND;Test-03;3;6
MR175;SHUFFLING_EXTEND;Test-11;1;1
MR219;CONJUNCTIVE_EXTEND;Test-14;2;5
MR133;CONJUNCTIVE_CONTRACT;Test-09;3;6
MR279;SHUFFLING_EXTEND;Test-17;2;2
MR110;CONJUNCTIVE_CONTRACT;Test-08;4;4
MR56;CONJUNCTIVE_EXTEND;Test-04;3;5
MR65;CONJUNCTIVE_CONTRACT;Test-05;1;7
MR18;CONJUNCTIVE_CONTRACT;Test-02;2;9
MR136;CONJUNCTIVE_CONTRACT;Test-09;3;6
MR111;CONJUNCTIVE_CONTRACT;Test-08;2;4
MR164;CONJUNCTIVE_CONTRACT;Test-11;1;7
MR16;DISJOINT_EXTEND;Test-01;1;1
MR31;CONJUNCTIVE_CONTRACT;Test-03;2;3
MR113;CONJUNCTIVE_CONTRACT;Test-08;2;4
MR291;SHUFFLING_CONTRACT;Test-18;1;1
MR231;CONJUNCTIVE_CONTRACT;Test-15;2;3
MR267;CONJUNCTIVE_CONTRACT;Test-17;3;3
MR93;DISJOINT_EXTEND;Test-06;1;1
MR27;DISJOINT_EXTEND;Test-02;1;1
MR242;CONJUNCTIVE_EXTEND;Test-15;3;6
MR286;CONJUNCTIVE_CONTRACT;Test-18;2;8
MR15;SHUFFLING_EXTEND;Test-01;2;2
MR112;CONJUNCTIVE_CONTRACT;Test-08;2;4
MR75;CONJUNCTIVE_EXTEND;Test-05;2;2
MR236;CONJUNCTIVE_EXTEND;Test-15;2;6
MR35;CONJUNCTIVE_EXTEND;Test-03;4;6
MR80;CONJUNCTIVE_CONTRACT;Test-06;3;7
MR233;CONJUNCTIVE_CONTRACT;Test-15;2;3
MR127;SHUFFLING_EXTEND;Test-08;2;2
MR196;CONJUNCTIVE_CONTRACT;Test-13;2;6
MR47;CONJUNCTIVE_CONTRACT;Test-04;3;4
MR246;CONJUNCTIVE_CONTRACT;Test-16;3;7
MR17;CONJUNCTIVE_CONTRACT;Test-02;3;9
MR277;CONJUNCTIVE_EXTEND;Test-17;2;6
MR0;CONJUNCTIVE_CONTRACT;Test-01;3;5
MR240;CONJUNCTIVE_EXTEND;Test-15;2;6
MR59;CONJUNCTIVE_EXTEND;Test-04;3;5
MR43;CONJUNCTIVE_EXTEND;Test-03;4;6
MR125;CONJUNCTIVE_EXTEND;Test-08;2;5
MR6;CONJUNCTIVE_CONTRACT;Test-01;4;5
MR268;CONJUNCTIVE_CONTRACT;Test-17;3;3
MR77;SHUFFLING_EXTEND;Test-05;2;2
MR62;SHUFFLING_CONTRACT;Test-04;1;1
MR217;CONJUNCTIVE_EXTEND;Test-14;4;5
MR176;DISJOINT_EXTEND;Test-11;1;1
MR173;CONJUNCTIVE_EXTEND;Test-11;2;2
MR271;CONJUNCTIVE_EXTEND;Test-17;2;6
MR141;CONJUNCTIVE_EXTEND;Test-09;3;3
MR103;CONJUNCTIVE_EXTEND;Test-07;2;3
MR146;SHUFFLING_EXTEND;Test-09;4;4
MR88;CONJUNCTIVE_EXTEND;Test-06;1;2
MR193;DISJOINT_EXTEND;Test-12;1;1
MR116;CONJUNCTIVE_CONTRACT;Test-08;2;4
MR284;CONJUNCTIVE_CONTRACT;Test-18;3;8
MR214;CONJUNCTIVE_CONTRACT;Test-14;2;4
MR265;CONJUNCTIVE_CONTRACT;Test-17;3;3
MR206;SHUFFLING_EXTEND;Test-13;4;4
MR269;CONJUNCTIVE_EXTEND;Test-17;3;6
MR168;CONJUNCTIVE_CONTRACT;Test-11;3;7
MR83;CONJUNCTIVE_CONTRACT;Test-06;2;7
MR190;CONJUNCTIVE_EXTEND;Test-12;1;3
MR186;CONJUNCTIVE_EXTEND;Test-12;2;3
MR124;CONJUNCTIVE_EXTEND;Test-08;4;5
MR225;SHUFFLING_EXTEND;Test-14;5;5
MR223;CONJUNCTIVE_EXTEND;Test-14;3;5
MR105;CONJUNCTIVE_EXTEND;Test-07;2;3
MR224;SHUFFLING_CONTRACT;Test-14;1;1
MR55;CONJUNCTIVE_EXTEND;Test-04;2;5
MR32;CONJUNCTIVE_CONTRACT;Test-03;3;3
MR137;CONJUNCTIVE_CONTRACT;Test-09;2;6
MR73;CONJUNCTIVE_EXTEND;Test-05;1;2
MR19;CONJUNCTIVE_CONTRACT;Test-02;2;9
MR259;SHUFFLING_EXTEND;Test-16;4;4
MR29;CONJUNCTIVE_CONTRACT;Test-03;3;3
MR1;CONJUNCTIVE_CONTRACT;Test-01;2;5
MR220;CONJUNCTIVE_EXTEND;Test-14;2;5
MR58;CONJUNCTIVE_EXTEND;Test-04;3;5
MR140;CONJUNCTIVE_EXTEND;Test-09;2;3
MR104;CONJUNCTIVE_EXTEND;Test-07;1;3
MR40;CONJUNCTIVE_EXTEND;Test-03;3;6
MR24;CONJUNCTIVE_CONTRACT;Test-02;2;9
MR248;CONJUNCTIVE_CONTRACT;Test-16;2;7
MR23;CONJUNCTIVE_CONTRACT;Test-02;2;9
MR142;CONJUNCTIVE_EXTEND;Test-09;3;3
MR209;CONJUNCTIVE_CONTRACT;Test-14;3;4
MR285;CONJUNCTIVE_CONTRACT;Test-18;2;8
MR163;COMPLETE_EXTEND;Test-10;2;2
MR9;CONJUNCTIVE_EXTEND;Test-01;1;4
MR114;CONJUNCTIVE_CONTRACT;Test-08;2;4
MR288;CONJUNCTIVE_CONTRACT;Test-18;4;8
MR134;CONJUNCTIVE_CONTRACT;Test-09;3;6
MR144;CONJUNCTIVE_EXTEND;Test-09;3;3
MR145;SHUFFLING_CONTRACT;Test-09;1;1
MR234;CONJUNCTIVE_EXTEND;Test-15;4;6
MR89;CONJUNCTIVE_EXTEND;Test-06;2;2
MR247;CONJUNCTIVE_CONTRACT;Test-16;5;7
MR235;CONJUNCTIVE_EXTEND;Test-15;1;6
MR255;CONJUNCTIVE_EXTEND;Test-16;1;2
MR157;CONJUNCTIVE_EXTEND;Test-10;2;4
MR72;CONJUNCTIVE_CONTRACT;Test-05;5;7
MR215;CONJUNCTIVE_EXTEND;Test-14;3;5
MR254;CONJUNCTIVE_CONTRACT;Test-16;3;7
MR290;CONJUNCTIVE_EXTEND;Test-18;1;1
MR282;CONJUNCTIVE_CONTRACT;Test-18;2;8
MR131;CONJUNCTIVE_CONTRACT;Test-09;2;6
MR263;CONJUNCTIVE_CONTRACT;Test-17;2;3
MR109;DISJOINT_EXTEND;Test-07;1;1
MR280;COMPLETE_EXTEND;Test-17;2;2
MR230;CONJUNCTIVE_CONTRACT;Test-15;2;3
MR20;CONJUNCTIVE_CONTRACT;Test-02;3;9
MR167;CONJUNCTIVE_CONTRACT;Test-11;4;7
