MR;type;STC_id;STC_n_parameters;number_of_FUTCs;local_distance;STC;FUTC_1;FUTC_2;FUTC_3;FUTC_4;FUTC_5;FUTC_6
MR92;SHUFFLING_CONTRACT;Test-06;9;1;1;[reference, new_client, customer, total, payment, status, from, to, order];[order];[];[];[];[];[]
MR147;SHUFFLING_CONTRACT;Test-09;8;1;1;[id, reference, delivery, customer, total, payment, status, order];[order];[];[];[];[];[]
MR3;CONJUNCTIVE_CONTRACT;Test-01;7;3;5;[id, reference, new_client, total, payment, status, order];[status, total];[id];[new_client, reference];[];[];[]
MR104;CONJUNCTIVE_EXTEND;Test-07;8;2;3;[id, reference, new_client, delivery, customer, total, payment, order];[status, to];[from];[];[];[];[]
MR1;CONJUNCTIVE_CONTRACT;Test-01;7;1;5;[id, reference, new_client, total, payment, status, order];[id, new_client, reference, status, total];[];[];[];[];[]
MR132;CONJUNCTIVE_CONTRACT;Test-09;8;2;6;[id, reference, delivery, customer, total, payment, status, order];[delivery, id, reference, status, total];[customer];[];[];[];[]
MR22;CONJUNCTIVE_CONTRACT;Test-02;11;2;9;[id, reference, new_client, delivery, customer, total, payment, status, from, to, order];[delivery, from, id, new_client, reference, status, to, total];[customer];[];[];[];[]
MR107;CONJUNCTIVE_EXTEND;Test-07;8;2;3;[id, reference, new_client, delivery, customer, total, payment, order];[from];[status, to];[];[];[];[]
MR152;CONJUNCTIVE_CONTRACT;Test-10;7;1;5;[reference, delivery, customer, total, payment, status, order];[customer, delivery, reference, status, total];[];[];[];[];[]
MR208;CONJUNCTIVE_EXTEND;Test-13;7;1;3;[id, reference, new_client, customer, total, status, order];[delivery, from, to];[];[];[];[];[]
MR103;CONJUNCTIVE_CONTRACT;Test-07;8;4;6;[id, reference, new_client, delivery, customer, total, payment, order];[id, reference, total];[delivery];[new_client];[customer];[];[]
MR283;CONJUNCTIVE_CONTRACT;Test-18;10;2;8;[id, reference, new_client, delivery, customer, total, payment, status, to, order];[customer, delivery, id, new_client, status, to, total];[reference];[];[];[];[]
MR21;CONJUNCTIVE_CONTRACT;Test-02;11;2;9;[id, reference, new_client, delivery, customer, total, payment, status, from, to, order];[customer, delivery, from, id, new_client, status, to, total];[reference];[];[];[];[]
MR174;CONJUNCTIVE_CONTRACT;Test-11;9;3;7;[id, reference, new_client, delivery, payment, status, from, to, order];[delivery];[from, id, new_client, reference];[status, to];[];[];[]
MR257;CONJUNCTIVE_CONTRACT;Test-16;9;3;7;[id, new_client, delivery, customer, total, payment, status, to, order];[delivery, new_client, total];[id, status, to];[customer];[];[];[]
MR15;CONJUNCTIVE_EXTEND;Test-01;7;3;4;[id, reference, new_client, total, payment, status, order];[customer];[to];[delivery, from];[];[];[]
MR24;CONJUNCTIVE_CONTRACT;Test-02;11;2;9;[id, reference, new_client, delivery, customer, total, payment, status, from, to, order];[customer, delivery, from, id, new_client, reference, to, total];[status];[];[];[];[]
MR196;CONJUNCTIVE_EXTEND;Test-12;8;3;3;[id, new_client, customer, total, payment, from, to, order];[delivery];[status];[reference];[];[];[]
MR131;CONJUNCTIVE_CONTRACT;Test-09;8;4;6;[id, reference, delivery, customer, total, payment, status, order];[delivery, total];[id, reference];[status];[customer];[];[]
MR123;CONJUNCTIVE_EXTEND;Test-08;5;2;5;[id, new_client, delivery, status, order];[from, reference, to, total];[customer];[];[];[];[]
MR89;CONJUNCTIVE_EXTEND;Test-06;9;1;2;[reference, new_client, customer, total, payment, status, from, to, order];[delivery, id];[];[];[];[];[]
MR154;CONJUNCTIVE_CONTRACT;Test-10;7;3;5;[reference, delivery, customer, total, payment, status, order];[delivery, status, total];[reference];[customer];[];[];[]
MR91;CONJUNCTIVE_EXTEND;Test-06;9;2;2;[reference, new_client, customer, total, payment, status, from, to, order];[id];[delivery];[];[];[];[]
