MR;Type;STC;FUTCs;LocalDistance
MR23;CONJUNCTIVE_CONTRACT;Test-02;6;9
MR0;CONJUNCTIVE_CONTRACT;Test-01;2;5
MR172;DISJOINT_EXTEND;Test-11;1;1
MR151;CONJUNCTIVE_EXTEND;Test-10;3;4
MR200;CONJUNCTIVE_EXTEND;Test-13;1;3
MR65;SHUFFLING_CONTRACT;Test-04;1;1
MR12;CONJUNCTIVE_EXTEND;Test-01;2;4
MR239;COMPLETE_EXTEND;Test-15;2;2
MR40;CONJUNCTIVE_EXTEND;Test-03;1;6
MR42;CONJUNCTIVE_EXTEND;Test-03;3;6
MR67;COMPLETE_EXTEND;Test-04;2;2
MR276;CONJUNCTIVE_CONTRACT;Test-18;2;8
MR248;CONJUNCTIVE_CONTRACT;Test-16;3;7
MR230;CONJUNCTIVE_EXTEND;Test-15;2;6
MR5;CONJUNCTIVE_CONTRACT;Test-01;3;5
MR99;CONJUNCTIVE_CONTRACT;Test-07;3;6
MR11;CONJUNCTIVE_EXTEND;Test-01;3;4
MR274;CONJUNCTIVE_CONTRACT;Test-18;1;8
MR220;SHUFFLING_CONTRACT;Test-14;1;1
MR129;CONJUNCTIVE_CONTRACT;Test-09;2;6
MR110;CONJUNCTIVE_CONTRACT;Test-08;2;4
MR281;SHUFFLING_CONTRACT;Test-18;1;1
MR266;CONJUNCTIVE_EXTEND;Test-17;5;6
MR120;CONJUNCTIVE_EXTEND;Test-08;3;5
MR192;CONJUNCTIVE_CONTRACT;Test-13;4;6
MR173;CONJUNCTIVE_CONTRACT;Test-12;4;6
MR53;CONJUNCTIVE_CONTRACT;Test-04;2;4
MR182;CONJUNCTIVE_EXTEND;Test-12;2;3
MR237;SHUFFLING_CONTRACT;Test-15;1;1
MR19;CONJUNCTIVE_CONTRACT;Test-02;4;9
MR33;CONJUNCTIVE_CONTRACT;Test-03;2;3
MR97;CONJUNCTIVE_CONTRACT;Test-07;2;6
MR157;COMPLETE_EXTEND;Test-10;2;2
MR48;COMPLETE_EXTEND;Test-03;2;2
MR21;CONJUNCTIVE_CONTRACT;Test-02;2;9
MR190;CONJUNCTIVE_CONTRACT;Test-13;3;6
MR213;CONJUNCTIVE_EXTEND;Test-14;3;5
MR232;CONJUNCTIVE_EXTEND;Test-15;1;6
MR36;CONJUNCTIVE_CONTRACT;Test-03;3;3
MR159;CONJUNCTIVE_CONTRACT;Test-11;1;7
MR184;CONJUNCTIVE_EXTEND;Test-12;3;3
MR15;CONJUNCTIVE_EXTEND;Test-01;2;4
MR22;CONJUNCTIVE_CONTRACT;Test-02;3;9
MR145;CONJUNCTIVE_CONTRACT;Test-10;2;5
MR75;CONJUNCTIVE_EXTEND;Test-05;1;2
MR174;CONJUNCTIVE_CONTRACT;Test-12;3;6
MR119;CONJUNCTIVE_EXTEND;Test-08;4;5
MR92;SHUFFLING_CONTRACT;Test-06;1;1
MR143;CONJUNCTIVE_CONTRACT;Test-10;2;5
MR258;CONJUNCTIVE_CONTRACT;Test-17;2;3
MR169;CONJUNCTIVE_EXTEND;Test-11;2;2
MR178;CONJUNCTIVE_CONTRACT;Test-12;1;6
MR222;COMPLETE_EXTEND;Test-14;2;2
MR83;CONJUNCTIVE_CONTRACT;Test-06;2;7
MR225;CONJUNCTIVE_CONTRACT;Test-15;2;3
MR125;CONJUNCTIVE_CONTRACT;Test-09;2;6
MR241;CONJUNCTIVE_CONTRACT;Test-16;3;7
MR113;CONJUNCTIVE_CONTRACT;Test-08;1;4
MR109;CONJUNCTIVE_CONTRACT;Test-08;3;4
MR18;DISJOINT_EXTEND;Test-01;1;1
MR163;CONJUNCTIVE_CONTRACT;Test-11;3;7
MR77;SHUFFLING_CONTRACT;Test-05;1;1
MR268;CONJUNCTIVE_EXTEND;Test-17;4;6
MR260;CONJUNCTIVE_EXTEND;Test-17;4;6
MR264;CONJUNCTIVE_EXTEND;Test-17;2;6
MR186;SHUFFLING_CONTRACT;Test-12;1;1
MR141;CONJUNCTIVE_CONTRACT;Test-10;2;5
MR149;CONJUNCTIVE_EXTEND;Test-10;1;4
MR74;CONJUNCTIVE_EXTEND;Test-05;2;2
MR37;CONJUNCTIVE_EXTEND;Test-03;4;6
MR212;CONJUNCTIVE_EXTEND;Test-14;2;5
MR2;CONJUNCTIVE_CONTRACT;Test-01;2;5
MR150;CONJUNCTIVE_EXTEND;Test-10;2;4
MR165;CONJUNCTIVE_CONTRACT;Test-11;2;7
MR185;CONJUNCTIVE_EXTEND;Test-12;2;3
MR73;CONJUNCTIVE_CONTRACT;Test-05;4;7
MR45;CONJUNCTIVE_EXTEND;Test-03;4;6
MR177;CONJUNCTIVE_CONTRACT;Test-12;3;6
MR197;CONJUNCTIVE_EXTEND;Test-13;2;3
MR93;SHUFFLING_EXTEND;Test-06;4;4
MR98;CONJUNCTIVE_CONTRACT;Test-07;3;6
MR270;SHUFFLING_EXTEND;Test-17;6;6
MR216;CONJUNCTIVE_EXTEND;Test-14;3;5
MR240;CONJUNCTIVE_CONTRACT;Test-16;3;7
MR79;DISJOINT_EXTEND;Test-05;1;1
MR68;CONJUNCTIVE_CONTRACT;Test-05;2;7
MR267;CONJUNCTIVE_EXTEND;Test-17;2;6
MR245;CONJUNCTIVE_CONTRACT;Test-16;2;7
MR272;CONJUNCTIVE_CONTRACT;Test-18;2;8
MR1;CONJUNCTIVE_CONTRACT;Test-01;2;5
MR51;CONJUNCTIVE_CONTRACT;Test-04;2;4
MR35;CONJUNCTIVE_CONTRACT;Test-03;1;3
MR54;CONJUNCTIVE_CONTRACT;Test-04;2;4
MR167;CONJUNCTIVE_EXTEND;Test-11;1;2
MR228;CONJUNCTIVE_CONTRACT;Test-15;3;3
MR66;SHUFFLING_EXTEND;Test-04;1;1
MR155;SHUFFLING_CONTRACT;Test-10;1;1
MR101;CONJUNCTIVE_CONTRACT;Test-07;3;6
MR8;CONJUNCTIVE_CONTRACT;Test-01;4;5
MR29;SHUFFLING_EXTEND;Test-02;3;3
MR103;CONJUNCTIVE_EXTEND;Test-07;2;3
MR176;CONJUNCTIVE_CONTRACT;Test-12;3;6
MR215;CONJUNCTIVE_EXTEND;Test-14;3;5
MR164;CONJUNCTIVE_CONTRACT;Test-11;3;7
MR105;CONJUNCTIVE_EXTEND;Test-07;2;3
MR3;CONJUNCTIVE_CONTRACT;Test-01;1;5
MR250;CONJUNCTIVE_EXTEND;Test-16;2;2
MR153;CONJUNCTIVE_EXTEND;Test-10;2;4
MR180;CONJUNCTIVE_CONTRACT;Test-12;4;6
MR199;CONJUNCTIVE_EXTEND;Test-13;2;3
MR217;CONJUNCTIVE_EXTEND;Test-14;2;5
MR137;SHUFFLING_CONTRACT;Test-09;1;1
MR61;CONJUNCTIVE_EXTEND;Test-04;3;5
MR46;SHUFFLING_CONTRACT;Test-03;1;1
MR96;CONJUNCTIVE_CONTRACT;Test-07;3;6
MR86;CONJUNCTIVE_CONTRACT;Test-06;1;7
MR104;CONJUNCTIVE_EXTEND;Test-07;2;3
MR243;CONJUNCTIVE_CONTRACT;Test-16;2;7
MR158;CONJUNCTIVE_CONTRACT;Test-11;4;7
MR121;CONJUNCTIVE_EXTEND;Test-08;3;5
MR214;CONJUNCTIVE_EXTEND;Test-14;1;5
MR135;CONJUNCTIVE_EXTEND;Test-09;2;3
MR4;CONJUNCTIVE_CONTRACT;Test-01;3;5
MR114;CONJUNCTIVE_CONTRACT;Test-08;3;4
MR249;CONJUNCTIVE_EXTEND;Test-16;1;2
MR100;CONJUNCTIVE_CONTRACT;Test-07;4;6
MR94;DISJOINT_EXTEND;Test-06;1;1
MR277;CONJUNCTIVE_CONTRACT;Test-18;3;8
MR253;SHUFFLING_EXTEND;Test-16;5;5
MR247;CONJUNCTIVE_CONTRACT;Test-16;3;7
MR170;SHUFFLING_CONTRACT;Test-11;1;1
MR111;CONJUNCTIVE_CONTRACT;Test-08;2;4
MR251;CONJUNCTIVE_EXTEND;Test-16;2;2
MR202;SHUFFLING_CONTRACT;Test-13;1;1
MR133;CONJUNCTIVE_EXTEND;Test-09;2;3
MR146;CONJUNCTIVE_CONTRACT;Test-10;2;5
MR187;SHUFFLING_EXTEND;Test-12;6;6
MR124;DISJOINT_EXTEND;Test-08;1;1
MR112;CONJUNCTIVE_CONTRACT;Test-08;3;4
MR162;CONJUNCTIVE_CONTRACT;Test-11;3;7
MR134;CONJUNCTIVE_EXTEND;Test-09;3;3
MR78;SHUFFLING_EXTEND;Test-05;4;4
MR221;SHUFFLING_EXTEND;Test-14;6;6
MR196;CONJUNCTIVE_EXTEND;Test-13;3;3
MR49;CONJUNCTIVE_CONTRACT;Test-04;1;4
MR238;SHUFFLING_EXTEND;Test-15;5;5
MR193;CONJUNCTIVE_CONTRACT;Test-13;1;6
MR118;CONJUNCTIVE_EXTEND;Test-08;2;5
MR257;CONJUNCTIVE_CONTRACT;Test-17;2;3
MR43;CONJUNCTIVE_EXTEND;Test-03;2;6
MR168;CONJUNCTIVE_EXTEND;Test-11;2;2
MR160;CONJUNCTIVE_CONTRACT;Test-11;3;7
MR175;CONJUNCTIVE_CONTRACT;Test-12;2;6
MR82;CONJUNCTIVE_CONTRACT;Test-06;4;7
MR28;SHUFFLING_CONTRACT;Test-02;1;1
MR142;CONJUNCTIVE_CONTRACT;Test-10;1;5
MR71;CONJUNCTIVE_CONTRACT;Test-05;1;7
MR90;CONJUNCTIVE_EXTEND;Test-06;2;2
MR278;CONJUNCTIVE_CONTRACT;Test-18;3;8
MR50;CONJUNCTIVE_CONTRACT;Test-04;3;4
MR254;DISJOINT_EXTEND;Test-16;1;1
MR265;CONJUNCTIVE_EXTEND;Test-17;3;6
MR130;CONJUNCTIVE_CONTRACT;Test-09;1;6
MR95;CONJUNCTIVE_CONTRACT;Test-07;1;6
MR211;CONJUNCTIVE_CONTRACT;Test-14;3;4
MR14;CONJUNCTIVE_EXTEND;Test-01;3;4
MR282;SHUFFLING_EXTEND;Test-18;4;4
MR126;CONJUNCTIVE_CONTRACT;Test-09;3;6
MR242;CONJUNCTIVE_CONTRACT;Test-16;2;7
MR156;SHUFFLING_EXTEND;Test-10;4;4
MR31;CONJUNCTIVE_CONTRACT;Test-03;2;3
MR34;CONJUNCTIVE_CONTRACT;Test-03;2;3
MR206;CONJUNCTIVE_CONTRACT;Test-14;2;4
MR279;CONJUNCTIVE_CONTRACT;Test-18;3;8
MR10;CONJUNCTIVE_EXTEND;Test-01;2;4
MR195;CONJUNCTIVE_CONTRACT;Test-13;5;6
MR152;CONJUNCTIVE_EXTEND;Test-10;2;4
MR140;CONJUNCTIVE_CONTRACT;Test-10;3;5
MR24;CONJUNCTIVE_CONTRACT;Test-02;3;9
MR205;CONJUNCTIVE_CONTRACT;Test-14;1;4
MR209;CONJUNCTIVE_CONTRACT;Test-14;2;4
MR181;CONJUNCTIVE_EXTEND;Test-12;1;3
MR60;CONJUNCTIVE_EXTEND;Test-04;3;5
MR39;CONJUNCTIVE_EXTEND;Test-03;2;6
MR106;SHUFFLING_CONTRACT;Test-07;1;1
MR263;CONJUNCTIVE_EXTEND;Test-17;3;6
MR80;CONJUNCTIVE_CONTRACT;Test-06;2;7
MR89;CONJUNCTIVE_EXTEND;Test-06;1;2
MR218;CONJUNCTIVE_EXTEND;Test-14;2;5
MR52;CONJUNCTIVE_CONTRACT;Test-04;2;4
