MR;type;STC_id;STC_n_parameters;number_of_FUTCs;local_distance;STC;FUTC_1;FUTC_2;FUTC_3;FUTC_4;FUTC_5;FUTC_6
MR133;CONJUNCTIVE_CONTRACT;Test-09;8;3;6;[id, reference, delivery, customer, total, payment, status, order];[customer, status];[delivery, id];[reference, total];[];[];[]
MR42;CONJUNCTIVE_EXTEND;Test-03;4;3;6;[delivery, customer, from, order];[new_client, reference, status, total];[id];[to];[];[];[]
MR229;CONJUNCTIVE_CONTRACT;Test-15;5;2;3;[id, reference, payment, status, order];[reference];[id, status];[];[];[];[]
MR26;CONJUNCTIVE_CONTRACT;Test-02;11;4;9;[id, reference, new_client, delivery, customer, total, payment, status, from, to, order];[customer, delivery, from, new_client, reference, to];[id];[total];[status];[];[]
MR144;CONJUNCTIVE_CONTRACT;Test-10;7;1;5;[reference, delivery, customer, total, payment, status, order];[customer, delivery, reference, status, total];[];[];[];[];[]
MR192;SHUFFLING_CONTRACT;Test-12;8;1;1;[id, new_client, customer, total, payment, from, to, order];[order];[];[];[];[];[]
MR51;CONJUNCTIVE_CONTRACT;Test-04;5;2;4;[id, total, status, to, order];[total];[id, status, to];[];[];[];[]
MR169;CONJUNCTIVE_CONTRACT;Test-11;9;3;7;[id, reference, new_client, delivery, payment, status, from, to, order];[id, new_client, reference, to];[from, status];[delivery];[];[];[]
MR183;CONJUNCTIVE_CONTRACT;Test-12;8;3;6;[id, new_client, customer, total, payment, from, to, order];[customer, new_client, to, total];[from];[id];[];[];[]
MR23;CONJUNCTIVE_CONTRACT;Test-02;11;2;9;[id, reference, new_client, delivery, customer, total, payment, status, from, to, order];[customer, delivery, from, id, new_client, reference, status, total];[to];[];[];[];[]
MR122;CONJUNCTIVE_EXTEND;Test-08;5;1;5;[id, new_client, delivery, status, order];[customer, from, reference, to, total];[];[];[];[];[]
MR106;DISJOINT_EXTEND;Test-07;8;1;1;[id, reference, new_client:yes, delivery, customer, total, payment, order];[new_client:no];[];[];[];[];[]
MR4;CONJUNCTIVE_CONTRACT;Test-01;7;3;5;[id, reference, new_client, total, payment, status, order];[new_client, status, total];[reference];[id];[];[];[]
MR284;CONJUNCTIVE_CONTRACT;Test-18;10;3;8;[id, reference, new_client, delivery, customer, total, payment, status, to, order];[delivery, id, new_client, reference];[customer, status, to];[total];[];[];[]
MR9;CONJUNCTIVE_EXTEND;Test-01;7;3;4;[id, reference, new_client, total, payment, status, order];[to];[customer, delivery];[from];[];[];[]
MR77;DISJOINT_EXTEND;Test-05;9;1;1;[reference, new_client:yes, delivery, customer, payment, status, from, to, order];[new_client:no];[];[];[];[];[]
MR115;CONJUNCTIVE_CONTRACT;Test-08;5;3;4;[id, new_client, delivery, status, order];[delivery];[new_client, status];[id];[];[];[]
MR179;CONJUNCTIVE_CONTRACT;Test-12;8;2;6;[id, new_client, customer, total, payment, from, to, order];[customer, from, id, to, total];[new_client];[];[];[];[]
MR165;CONJUNCTIVE_CONTRACT;Test-11;9;3;7;[id, reference, new_client, delivery, payment, status, from, to, order];[reference];[delivery, id];[from, new_client, status, to];[];[];[]
MR103;CONJUNCTIVE_EXTEND;Test-07;8;2;3;[id, reference, new_client, delivery, customer, total, payment, order];[status, to];[from];[];[];[];[]
MR198;CONJUNCTIVE_CONTRACT;Test-13;7;2;6;[id, reference, new_client, customer, total, status, order];[customer, new_client, reference, status];[id, total];[];[];[];[]
MR11;CONJUNCTIVE_EXTEND;Test-01;7;2;4;[id, reference, new_client, total, payment, status, order];[customer, from, to];[delivery];[];[];[];[]
MR33;CONJUNCTIVE_CONTRACT;Test-03;4;2;3;[delivery, customer, from, order];[from];[customer, delivery];[];[];[];[]
MR252;CONJUNCTIVE_CONTRACT;Test-16;9;2;7;[id, new_client, delivery, customer, total, payment, status, to, order];[delivery, id, new_client, status, to, total];[customer];[];[];[];[]
MR240;CONJUNCTIVE_EXTEND;Test-15;5;2;6;[id, reference, payment, status, order];[customer, delivery, new_client, to, total];[from];[];[];[];[]
MR90;SHUFFLING_EXTEND;Test-06;9;6;6;[reference, new_client, customer, total, payment, status, from, to, order:delivery ascending];[order:id ascending];[order:id descending];[order:reference ascending];[order:reference descending];[order:delivery descending];[order:customer ascending]
