MR;Type;STC;FUTCs;LocalDistance
MR229;CONJUNCTIVE_EXTEND;Test-14;2;5
MR29;SHUFFLING_CONTRACT;Test-02;1;1
MR119;CONJUNCTIVE_CONTRACT;Test-08;3;4
MR70;CONJUNCTIVE_CONTRACT;Test-05;2;7
MR16;CONJUNCTIVE_EXTEND;Test-01;1;4
MR263;SHUFFLING_EXTEND;Test-16;2;2
MR23;CONJUNCTIVE_CONTRACT;Test-02;3;9
MR75;CONJUNCTIVE_CONTRACT;Test-05;4;7
MR168;CONJUNCTIVE_CONTRACT;Test-11;3;7
MR82;DISJOINT_EXTEND;Test-05;1;1
MR177;CONJUNCTIVE_EXTEND;Test-11;2;2
MR87;CONJUNCTIVE_CONTRACT;Test-06;2;7
MR67;COMPLETE_EXTEND;Test-04;2;2
MR106;CONJUNCTIVE_CONTRACT;Test-07;3;6
MR62;CONJUNCTIVE_EXTEND;Test-04;2;5
MR232;SHUFFLING_CONTRACT;Test-14;1;1
MR153;CONJUNCTIVE_CONTRACT;Test-10;3;5
MR59;CONJUNCTIVE_EXTEND;Test-04;1;5
MR212;CONJUNCTIVE_EXTEND;Test-13;2;3
MR239;CONJUNCTIVE_CONTRACT;Test-15;2;3
MR110;CONJUNCTIVE_EXTEND;Test-07;2;3
MR51;CONJUNCTIVE_CONTRACT;Test-04;2;4
MR167;COMPLETE_EXTEND;Test-10;2;2
MR12;CONJUNCTIVE_EXTEND;Test-01;2;4
MR188;CONJUNCTIVE_CONTRACT;Test-12;3;6
MR43;CONJUNCTIVE_EXTEND;Test-03;3;6
MR270;CONJUNCTIVE_EXTEND;Test-17;3;6
MR33;CONJUNCTIVE_CONTRACT;Test-03;2;3
MR258;CONJUNCTIVE_CONTRACT;Test-16;3;7
MR98;CONJUNCTIVE_CONTRACT;Test-07;3;6
MR54;CONJUNCTIVE_CONTRACT;Test-04;2;4
MR126;CONJUNCTIVE_EXTEND;Test-08;3;5
MR193;CONJUNCTIVE_EXTEND;Test-12;1;3
MR218;CONJUNCTIVE_CONTRACT;Test-14;2;4
MR159;CONJUNCTIVE_EXTEND;Test-10;3;4
MR195;CONJUNCTIVE_EXTEND;Test-12;3;3
MR48;SHUFFLING_CONTRACT;Test-03;1;1
MR69;CONJUNCTIVE_CONTRACT;Test-05;3;7
MR92;CONJUNCTIVE_EXTEND;Test-06;1;2
MR254;CONJUNCTIVE_CONTRACT;Test-16;3;7
MR246;CONJUNCTIVE_EXTEND;Test-15;2;6
MR11;CONJUNCTIVE_EXTEND;Test-01;3;4
MR27;CONJUNCTIVE_CONTRACT;Test-02;3;9
MR152;CONJUNCTIVE_CONTRACT;Test-10;3;5
MR136;CONJUNCTIVE_CONTRACT;Test-09;3;6
MR44;CONJUNCTIVE_EXTEND;Test-03;1;6
MR28;CONJUNCTIVE_CONTRACT;Test-02;2;9
MR278;SHUFFLING_CONTRACT;Test-17;1;1
MR175;CONJUNCTIVE_CONTRACT;Test-11;3;7
MR200;CONJUNCTIVE_CONTRACT;Test-13;2;6
MR179;CONJUNCTIVE_EXTEND;Test-11;2;2
MR113;CONJUNCTIVE_EXTEND;Test-07;3;3
MR61;CONJUNCTIVE_EXTEND;Test-04;3;5
MR230;CONJUNCTIVE_EXTEND;Test-14;2;5
MR74;CONJUNCTIVE_CONTRACT;Test-05;2;7
MR158;CONJUNCTIVE_EXTEND;Test-10;1;4
MR253;CONJUNCTIVE_CONTRACT;Test-16;2;7
MR108;CONJUNCTIVE_EXTEND;Test-07;3;3
MR58;CONJUNCTIVE_EXTEND;Test-04;3;5
MR191;CONJUNCTIVE_EXTEND;Test-12;2;3
MR125;CONJUNCTIVE_EXTEND;Test-08;2;5
MR21;CONJUNCTIVE_CONTRACT;Test-02;3;9
MR231;CONJUNCTIVE_EXTEND;Test-14;1;5
MR148;SHUFFLING_CONTRACT;Test-09;1;1
MR257;CONJUNCTIVE_CONTRACT;Test-16;3;7
MR104;CONJUNCTIVE_CONTRACT;Test-07;3;6
MR192;CONJUNCTIVE_EXTEND;Test-12;2;3
MR199;CONJUNCTIVE_CONTRACT;Test-13;3;6
MR97;DISJOINT_EXTEND;Test-06;1;1
MR42;CONJUNCTIVE_EXTEND;Test-03;3;6
MR214;CONJUNCTIVE_EXTEND;Test-13;2;3
MR272;CONJUNCTIVE_EXTEND;Test-17;3;6
MR222;CONJUNCTIVE_CONTRACT;Test-14;3;4
MR85;CONJUNCTIVE_CONTRACT;Test-06;5;7
MR121;CONJUNCTIVE_CONTRACT;Test-08;1;4
MR71;CONJUNCTIVE_CONTRACT;Test-05;3;7
MR262;SHUFFLING_CONTRACT;Test-16;1;1
MR266;CONJUNCTIVE_CONTRACT;Test-17;2;3
MR171;CONJUNCTIVE_CONTRACT;Test-11;2;7
MR271;CONJUNCTIVE_EXTEND;Test-17;3;6
MR210;CONJUNCTIVE_EXTEND;Test-13;3;3
MR10;CONJUNCTIVE_EXTEND;Test-01;2;4
MR166;SHUFFLING_EXTEND;Test-10;4;4
MR237;CONJUNCTIVE_CONTRACT;Test-15;1;3
MR103;CONJUNCTIVE_CONTRACT;Test-07;2;6
MR56;CONJUNCTIVE_CONTRACT;Test-04;2;4
MR187;CONJUNCTIVE_CONTRACT;Test-12;4;6
MR41;CONJUNCTIVE_EXTEND;Test-03;3;6
MR292;SHUFFLING_EXTEND;Test-18;2;2
MR282;CONJUNCTIVE_CONTRACT;Test-18;6;8
MR273;CONJUNCTIVE_EXTEND;Test-17;2;6
MR84;CONJUNCTIVE_CONTRACT;Test-06;4;7
MR170;CONJUNCTIVE_CONTRACT;Test-11;2;7
MR290;CONJUNCTIVE_EXTEND;Test-18;1;1
MR105;CONJUNCTIVE_CONTRACT;Test-07;2;6
MR156;CONJUNCTIVE_CONTRACT;Test-10;4;5
MR94;CONJUNCTIVE_EXTEND;Test-06;2;2
MR96;SHUFFLING_EXTEND;Test-06;3;3
MR111;CONJUNCTIVE_EXTEND;Test-07;2;3
MR145;CONJUNCTIVE_EXTEND;Test-09;2;3
MR274;CONJUNCTIVE_EXTEND;Test-17;1;6
MR215;SHUFFLING_CONTRACT;Test-13;1;1
MR141;CONJUNCTIVE_CONTRACT;Test-09;3;6
MR80;SHUFFLING_CONTRACT;Test-05;1;1
MR32;CONJUNCTIVE_CONTRACT;Test-03;2;3
MR86;CONJUNCTIVE_CONTRACT;Test-06;2;7
MR267;CONJUNCTIVE_CONTRACT;Test-17;3;3
MR178;CONJUNCTIVE_EXTEND;Test-11;1;2
MR213;CONJUNCTIVE_EXTEND;Test-13;1;3
MR208;CONJUNCTIVE_EXTEND;Test-13;2;3
MR130;SHUFFLING_CONTRACT;Test-08;1;1
MR207;CONJUNCTIVE_CONTRACT;Test-13;4;6
MR287;CONJUNCTIVE_CONTRACT;Test-18;5;8
MR149;SHUFFLING_EXTEND;Test-09;6;6
MR68;CONJUNCTIVE_CONTRACT;Test-05;2;7
MR286;CONJUNCTIVE_CONTRACT;Test-18;3;8
MR137;CONJUNCTIVE_CONTRACT;Test-09;4;6
MR183;CONJUNCTIVE_CONTRACT;Test-12;3;6
MR117;CONJUNCTIVE_CONTRACT;Test-08;3;4
MR40;CONJUNCTIVE_EXTEND;Test-03;2;6
MR35;CONJUNCTIVE_CONTRACT;Test-03;2;3
MR260;CONJUNCTIVE_EXTEND;Test-16;2;2
MR202;CONJUNCTIVE_CONTRACT;Test-13;3;6
MR250;CONJUNCTIVE_CONTRACT;Test-16;2;7
MR20;CONJUNCTIVE_CONTRACT;Test-02;3;9
MR101;CONJUNCTIVE_CONTRACT;Test-07;3;6
MR259;CONJUNCTIVE_EXTEND;Test-16;1;2
MR211;CONJUNCTIVE_EXTEND;Test-13;3;3
MR226;CONJUNCTIVE_EXTEND;Test-14;2;5
MR131;SHUFFLING_EXTEND;Test-08;5;5
MR284;CONJUNCTIVE_CONTRACT;Test-18;2;8
MR144;CONJUNCTIVE_EXTEND;Test-09;3;3
MR238;CONJUNCTIVE_CONTRACT;Test-15;3;3
MR203;CONJUNCTIVE_CONTRACT;Test-13;4;6
MR123;CONJUNCTIVE_CONTRACT;Test-08;3;4
MR184;CONJUNCTIVE_CONTRACT;Test-12;1;6
MR7;CONJUNCTIVE_CONTRACT;Test-01;3;5
MR146;CONJUNCTIVE_EXTEND;Test-09;2;3
MR30;SHUFFLING_EXTEND;Test-02;4;4
MR160;CONJUNCTIVE_EXTEND;Test-10;3;4
MR63;CONJUNCTIVE_EXTEND;Test-04;2;5
MR161;CONJUNCTIVE_EXTEND;Test-10;3;4
MR37;CONJUNCTIVE_CONTRACT;Test-03;3;3
MR124;CONJUNCTIVE_EXTEND;Test-08;1;5
