MR;Type;STC;FUTCs;LocalDistance
MR42;EQUIVALENCE_EXTEND;Test-10;3;3
MR9;EQUIVALENCE_EXTEND;Test-03;2;3
MR62;DISJOINT_EXTEND;Test-15;6;6
MR11;EQUIVALENCE_EXTEND;Test-03;3;3
MR15;DISJOINT_EXTEND;Test-04;1;1
MR10;EQUIVALENCE_EXTEND;Test-03;3;3
MR25;EQUIVALENCE_EXTEND;Test-07;2;4
MR13;EQUIVALENCE_EXTEND;Test-03;2;3
MR57;EQUIVALENCE_EXTEND;Test-14;2;2
MR27;EQUIVALENCE_EXTEND;Test-07;3;4
MR5;EQUIVALENCE_EXTEND;Test-02;1;4
MR8;DISJOINT_EXTEND;Test-03;1;1
MR53;EQUIVALENCE_EXTEND;Test-12;2;3
MR61;DISJOINT_EXTEND;Test-15;5;5
MR34;EQUIVALENCE_EXTEND;Test-08;1;3
MR2;EQUIVALENCE_EXTEND;Test-01;1;1
MR52;EQUIVALENCE_EXTEND;Test-12;3;3
MR28;EQUIVALENCE_EXTEND;Test-07;3;4
MR55;DISJOINT_EXTEND;Test-13;6;6
MR43;EQUIVALENCE_EXTEND;Test-10;3;3
MR46;DISJOINT_EXTEND;Test-11;1;1
MR4;EQUIVALENCE_EXTEND;Test-02;3;4
MR44;EQUIVALENCE_EXTEND;Test-10;2;3
MR7;EQUIVALENCE_EXTEND;Test-02;2;4
MR6;EQUIVALENCE_EXTEND;Test-02;3;4
MR1;DISJOINT_EXTEND;Test-01;1;1
MR26;EQUIVALENCE_EXTEND;Test-07;2;4
MR3;EQUIVALENCE_EXTEND;Test-02;2;4
MR40;EQUIVALENCE_EXTEND;Test-10;2;3
MR64;EQUIVALENCE_EXTEND;Test-15;2;3
MR35;EQUIVALENCE_EXTEND;Test-08;2;3
MR31;DISJOINT_EXTEND;Test-08;1;1
MR59;EQUIVALENCE_EXTEND;Test-14;1;2
MR17;EQUIVALENCE_EXTEND;Test-04;1;1
MR39;EQUIVALENCE_EXTEND;Test-09;1;3
MR51;EQUIVALENCE_EXTEND;Test-12;1;3
MR19;DISJOINT_EXTEND;Test-06;2;2
MR36;EQUIVALENCE_EXTEND;Test-08;3;3
MR56;EQUIVALENCE_EXTEND;Test-13;1;1
MR0;DISJOINT_EXTEND;Test-01;4;4
MR24;DISJOINT_EXTEND;Test-07;3;3
MR38;EQUIVALENCE_EXTEND;Test-09;2;3
MR47;DISJOINT_EXTEND;Test-11;3;3
MR29;EQUIVALENCE_EXTEND;Test-07;2;4
MR41;EQUIVALENCE_EXTEND;Test-10;3;3
MR21;EQUIVALENCE_EXTEND;Test-06;1;2
MR12;EQUIVALENCE_EXTEND;Test-03;1;3
MR50;DISJOINT_EXTEND;Test-12;1;1
MR18;EQUIVALENCE_EXTEND;Test-05;1;1
MR45;EQUIVALENCE_EXTEND;Test-10;2;3
MR20;EQUIVALENCE_EXTEND;Test-06;2;2
MR63;EQUIVALENCE_EXTEND;Test-15;1;3
MR54;EQUIVALENCE_EXTEND;Test-12;2;3
MR49;DISJOINT_EXTEND;Test-12;2;2
MR65;EQUIVALENCE_EXTEND;Test-15;2;3
MR37;EQUIVALENCE_EXTEND;Test-09;2;3
MR22;EQUIVALENCE_EXTEND;Test-06;2;2
MR16;DISJOINT_EXTEND;Test-04;2;2
MR58;EQUIVALENCE_EXTEND;Test-14;2;2
MR33;DISJOINT_EXTEND;Test-08;5;5
MR14;DISJOINT_EXTEND;Test-04;6;6
MR60;DISJOINT_EXTEND;Test-15;4;4
MR32;DISJOINT_EXTEND;Test-08;3;3
MR48;EQUIVALENCE_EXTEND;Test-11;1;1
MR30;EQUIVALENCE_EXTEND;Test-07;3;4
MR23;DISJOINT_EXTEND;Test-07;2;2
