MR;type;STC_id;STC_n_parameters;number_of_FUTCs;local_distance;STC;FUTC_1;FUTC_2;FUTC_3;FUTC_4;FUTC_5;FUTC_6
MR63;DISJOINT_EXTEND;Test-15;5;3;3;[term, country:IT, callback, version, explicit];[country:AD];[country:AE];[country:AF];[];[];[]
MR16;EQUIVALENCE_EXTEND;Test-04;7;1;1;[term, country, media, attribute, lang, version, explicit];[limit:50];[];[];[];[];[]
MR20;DISJOINT_EXTEND;Test-06;7;1;1;[term, country:IT, media, attribute, callback, limit, version];[country:AD];[];[];[];[];[]
MR46;EQUIVALENCE_EXTEND;Test-10;4;2;3;[term, limit, version, explicit];[country:US, media:all];[lang:en_us];[];[];[];[]
MR55;EQUIVALENCE_EXTEND;Test-12;6;1;3;[term, country, media, entity, callback, explicit];[lang:en_us, limit:50, version:2];[];[];[];[];[]
MR47;EQUIVALENCE_EXTEND;Test-10;4;2;3;[term, limit, version, explicit];[lang:en_us, media:all];[country:US];[];[];[];[]
MR40;EQUIVALENCE_EXTEND;Test-09;5;2;3;[term, media, attribute, version, explicit];[country:US, limit:50];[lang:en_us];[];[];[];[]
MR12;EQUIVALENCE_EXTEND;Test-03;7;2;3;[term, media, entity, attribute, callback, limit, explicit];[country:US];[lang:en_us, version:2];[];[];[];[]
MR24;EQUIVALENCE_EXTEND;Test-06;7;2;2;[term, country, media, attribute, callback, limit, version];[lang:en_us];[explicit:Yes];[];[];[];[]
MR13;DISJOINT_EXTEND;Test-04;7;4;4;[term, country:JP, media, attribute, lang, version, explicit];[country:AD];[country:AE];[country:AF];[country:AG];[];[]
MR22;EQUIVALENCE_EXTEND;Test-06;7;1;2;[term, country, media, attribute, callback, limit, version];[explicit:Yes, lang:en_us];[];[];[];[];[]
MR49;DISJOINT_EXTEND;Test-11;9;6;6;[term, country:JP, media, entity, attribute, callback, lang, version, explicit];[country:AD];[country:AE];[country:AF];[country:AG];[country:AI];[country:AL]
MR17;DISJOINT_EXTEND;Test-05;7;3;3;[term, country:IT, media, entity, limit, lang, explicit];[country:AD];[country:AE];[country:AF];[];[];[]
MR11;EQUIVALENCE_EXTEND;Test-03;7;1;3;[term, media, entity, attribute, callback, limit, explicit];[country:US, lang:en_us, version:2];[];[];[];[];[]
MR42;EQUIVALENCE_EXTEND;Test-09;5;3;3;[term, media, attribute, version, explicit];[country:US];[lang:en_us];[limit:50];[];[];[]
MR29;EQUIVALENCE_EXTEND;Test-07;4;2;4;[term, country, callback, lang];[explicit:Yes, limit:50, version:2];[media:all];[];[];[];[]
MR67;EQUIVALENCE_EXTEND;Test-15;5;2;3;[term, country, callback, version, explicit];[lang:en_us, media:all];[limit:50];[];[];[];[]
MR36;EQUIVALENCE_EXTEND;Test-08;6;2;3;[term, country, media, entity, attribute, version];[explicit:Yes];[lang:en_us, limit:50];[];[];[];[]
MR27;DISJOINT_EXTEND;Test-07;4;2;2;[term, country:JP, callback, lang];[country:AD];[country:AE];[];[];[];[]
MR64;EQUIVALENCE_EXTEND;Test-15;5;3;3;[term, country, callback, version, explicit];[media:all];[lang:en_us];[limit:50];[];[];[]
MR44;EQUIVALENCE_EXTEND;Test-09;5;2;3;[term, media, attribute, version, explicit];[country:US, lang:en_us];[limit:50];[];[];[];[]
MR28;EQUIVALENCE_EXTEND;Test-07;4;2;4;[term, country, callback, lang];[media:all, version:2];[explicit:Yes, limit:50];[];[];[];[]
MR60;EQUIVALENCE_EXTEND;Test-14;8;2;2;[term, media, entity, attribute, callback, lang, version, explicit];[limit:50];[country:US];[];[];[];[]
MR14;DISJOINT_EXTEND;Test-04;7;2;2;[term, country:JP, media, attribute, lang, version, explicit];[country:AD];[country:AE];[];[];[];[]
MR58;EQUIVALENCE_EXTEND;Test-13;7;1;1;[term, country, media, entity, lang, version, explicit];[limit:50];[];[];[];[];[]
MR19;EQUIVALENCE_EXTEND;Test-05;7;1;1;[term, country, media, entity, limit, lang, explicit];[version:2];[];[];[];[];[]
MR39;EQUIVALENCE_EXTEND;Test-08;6;2;3;[term, country, media, entity, attribute, version];[lang:en_us];[explicit:Yes, limit:50];[];[];[];[]
MR7;EQUIVALENCE_EXTEND;Test-03;7;3;3;[term, media, entity, attribute, callback, limit, explicit];[country:US];[version:2];[lang:en_us];[];[];[]
