MR;Type;STC;FUTCs;LocalDistance
MR51;EQUIVALENCE_EXTEND;Test-15;1;3
MR36;EQUIVALENCE_EXTEND;Test-10;1;3
MR25;DISJOINT_EXTEND;Test-08;6;6
MR3;EQUIVALENCE_EXTEND;Test-02;2;4
MR31;EQUIVALENCE_EXTEND;Test-09;1;3
MR4;EQUIVALENCE_EXTEND;Test-02;2;4
MR0;DISJOINT_EXTEND;Test-01;5;5
MR38;DISJOINT_EXTEND;Test-12;3;3
MR8;EQUIVALENCE_EXTEND;Test-03;3;3
MR28;EQUIVALENCE_EXTEND;Test-08;1;3
MR15;EQUIVALENCE_EXTEND;Test-05;1;1
MR9;EQUIVALENCE_EXTEND;Test-03;2;3
MR6;EQUIVALENCE_EXTEND;Test-02;2;4
MR23;EQUIVALENCE_EXTEND;Test-07;2;4
MR52;EQUIVALENCE_EXTEND;Test-15;2;3
MR49;DISJOINT_EXTEND;Test-15;6;6
MR37;EQUIVALENCE_EXTEND;Test-11;1;1
MR29;EQUIVALENCE_EXTEND;Test-09;2;3
MR27;EQUIVALENCE_EXTEND;Test-08;2;3
MR22;EQUIVALENCE_EXTEND;Test-07;4;4
MR34;EQUIVALENCE_EXTEND;Test-10;2;3
MR50;EQUIVALENCE_EXTEND;Test-15;2;3
MR20;EQUIVALENCE_EXTEND;Test-07;3;4
MR32;EQUIVALENCE_EXTEND;Test-09;3;3
MR5;EQUIVALENCE_EXTEND;Test-02;3;4
MR44;DISJOINT_EXTEND;Test-13;5;5
MR1;EQUIVALENCE_EXTEND;Test-01;1;1
MR12;DISJOINT_EXTEND;Test-04;4;4
MR40;EQUIVALENCE_EXTEND;Test-12;1;3
MR19;DISJOINT_EXTEND;Test-07;6;6
MR47;EQUIVALENCE_EXTEND;Test-14;2;2
MR35;EQUIVALENCE_EXTEND;Test-10;2;3
MR45;EQUIVALENCE_EXTEND;Test-13;1;1
MR41;EQUIVALENCE_EXTEND;Test-12;2;3
MR10;EQUIVALENCE_EXTEND;Test-03;2;3
MR46;EQUIVALENCE_EXTEND;Test-14;1;2
MR14;DISJOINT_EXTEND;Test-05;6;6
MR30;EQUIVALENCE_EXTEND;Test-09;2;3
MR21;EQUIVALENCE_EXTEND;Test-07;1;4
MR7;EQUIVALENCE_EXTEND;Test-03;1;3
MR13;EQUIVALENCE_EXTEND;Test-04;1;1
MR16;EQUIVALENCE_EXTEND;Test-06;1;2
MR39;EQUIVALENCE_EXTEND;Test-12;2;3
MR33;EQUIVALENCE_EXTEND;Test-09;2;3
MR2;EQUIVALENCE_EXTEND;Test-02;1;4
MR26;EQUIVALENCE_EXTEND;Test-08;3;3
MR17;EQUIVALENCE_EXTEND;Test-06;2;2
