MR;type;STC_id;STC_n_parameters;number_of_FUTCs;local_distance;STC;FUTC_1;FUTC_2;FUTC_3;FUTC_4;FUTC_5;FUTC_6
MR30;DISJOINT_EXTEND;Test-08;6;1;1;[term, country, media, entity:album, attribute, version];[entity:mix];[];[];[];[];[]
MR42;EQUIVALENCE_EXTEND;Test-10;4;2;3;[term, limit, version, explicit];[country:US, lang:en_us];[media:all];[];[];[];[]
MR56;EQUIVALENCE_EXTEND;Test-13;7;1;1;[term, country, media, entity, lang, version, explicit];[limit:50];[];[];[];[];[]
MR44;EQUIVALENCE_EXTEND;Test-10;4;3;3;[term, limit, version, explicit];[lang:en_us];[media:all];[country:US];[];[];[]
MR28;EQUIVALENCE_EXTEND;Test-07;4;2;4;[term, country, callback, lang];[explicit:Yes, version:2];[limit:50, media:all];[];[];[];[]
MR1;DISJOINT_EXTEND;Test-01;8;4;4;[term, country:JP, media, attribute, callback, limit, lang, explicit];[country:AD];[country:AE];[country:AF];[country:AG];[];[]
MR55;DISJOINT_EXTEND;Test-13;7;4;4;[term, country:IT, media, entity, lang, version, explicit];[country:AD];[country:AE];[country:AF];[country:AG];[];[]
MR11;EQUIVALENCE_EXTEND;Test-03;7;2;3;[term, media, entity, attribute, callback, limit, explicit];[lang:en_us, version:2];[country:US];[];[];[];[]
MR2;EQUIVALENCE_EXTEND;Test-01;8;1;1;[term, country, media, attribute, callback, limit, lang, explicit];[version:2];[];[];[];[];[]
MR9;DISJOINT_EXTEND;Test-03;7;1;1;[term, media, entity:album, attribute, callback, limit, explicit];[entity:mix];[];[];[];[];[]
MR31;DISJOINT_EXTEND;Test-08;6;3;3;[term, country:IT, media, entity, attribute, version];[country:AD];[country:AE];[country:AF];[];[];[]
MR32;EQUIVALENCE_EXTEND;Test-08;6;2;3;[term, country, media, entity, attribute, version];[lang:en_us];[explicit:Yes, limit:50];[];[];[];[]
MR47;EQUIVALENCE_EXTEND;Test-10;4;2;3;[term, limit, version, explicit];[country:US, media:all];[lang:en_us];[];[];[];[]
MR25;DISJOINT_EXTEND;Test-07;4;5;5;[term, country:JP, callback, lang];[country:AD];[country:AE];[country:AF];[country:AG];[country:AI];[]
MR20;DISJOINT_EXTEND;Test-06;7;3;3;[term, country:IT, media, attribute, callback, limit, version];[country:AD];[country:AE];[country:AF];[];[];[]
MR24;EQUIVALENCE_EXTEND;Test-06;7;1;2;[term, country, media, attribute, callback, limit, version];[explicit:Yes, lang:en_us];[];[];[];[];[]
MR37;EQUIVALENCE_EXTEND;Test-09;5;2;3;[term, media, attribute, version, explicit];[country:US, limit:50];[lang:en_us];[];[];[];[]
MR5;EQUIVALENCE_EXTEND;Test-02;4;2;4;[term, media, entity, version];[explicit:Yes, lang:en_us, limit:50];[country:US];[];[];[];[]
MR45;EQUIVALENCE_EXTEND;Test-10;4;2;3;[term, limit, version, explicit];[country:US];[lang:en_us, media:all];[];[];[];[]
MR40;EQUIVALENCE_EXTEND;Test-09;5;2;3;[term, media, attribute, version, explicit];[country:US, lang:en_us];[limit:50];[];[];[];[]
MR14;EQUIVALENCE_EXTEND;Test-03;7;1;3;[term, media, entity, attribute, callback, limit, explicit];[country:US, lang:en_us, version:2];[];[];[];[];[]
MR12;EQUIVALENCE_EXTEND;Test-03;7;2;3;[term, media, entity, attribute, callback, limit, explicit];[lang:en_us];[country:US, version:2];[];[];[];[]
MR63;EQUIVALENCE_EXTEND;Test-15;5;3;3;[term, country, callback, version, explicit];[limit:50];[media:all];[lang:en_us];[];[];[]
MR3;EQUIVALENCE_EXTEND;Test-02;4;3;4;[term, media, entity, version];[limit:50];[explicit:Yes, lang:en_us];[country:US];[];[];[]
MR10;EQUIVALENCE_EXTEND;Test-03;7;2;3;[term, media, entity, attribute, callback, limit, explicit];[country:US, lang:en_us];[version:2];[];[];[];[]
MR18;EQUIVALENCE_EXTEND;Test-04;7;1;1;[term, country, media, attribute, lang, version, explicit];[limit:50];[];[];[];[];[]
MR26;DISJOINT_EXTEND;Test-07;4;3;3;[term, country:JP, callback, lang];[country:AD];[country:AE];[country:AF];[];[];[]
MR0;DISJOINT_EXTEND;Test-01;8;1;1;[term, country:JP, media, attribute, callback, limit, lang, explicit];[country:AD];[];[];[];[];[]
MR49;EQUIVALENCE_EXTEND;Test-11;9;1;1;[term, country, media, entity, attribute, callback, lang, version, explicit];[limit:50];[];[];[];[];[]
MR21;DISJOINT_EXTEND;Test-06;7;5;5;[term, country:IT, media, attribute, callback, limit, version];[country:AD];[country:AE];[country:AF];[country:AG];[country:AI];[]
MR7;EQUIVALENCE_EXTEND;Test-02;4;3;4;[term, media, entity, version];[limit:50];[country:US, explicit:Yes];[lang:en_us];[];[];[]
MR57;EQUIVALENCE_EXTEND;Test-14;8;2;2;[term, media, entity, attribute, callback, lang, version, explicit];[country:US];[limit:50];[];[];[];[]
MR33;EQUIVALENCE_EXTEND;Test-08;6;2;3;[term, country, media, entity, attribute, version];[explicit:Yes, lang:en_us];[limit:50];[];[];[];[]
MR50;DISJOINT_EXTEND;Test-12;6;1;1;[term, country:JP, media, entity, callback, explicit];[country:AD];[];[];[];[];[]
MR48;DISJOINT_EXTEND;Test-11;9;6;6;[term, country:JP, media, entity, attribute, callback, lang, version, explicit];[country:AD];[country:AE];[country:AF];[country:AG];[country:AI];[country:AL]
MR38;EQUIVALENCE_EXTEND;Test-09;5;1;3;[term, media, attribute, version, explicit];[country:US, lang:en_us, limit:50];[];[];[];[];[]
MR46;EQUIVALENCE_EXTEND;Test-10;4;3;3;[term, limit, version, explicit];[media:all];[country:US];[lang:en_us];[];[];[]
MR8;EQUIVALENCE_EXTEND;Test-02;4;3;4;[term, media, entity, version];[country:US];[explicit:Yes];[lang:en_us, limit:50];[];[];[]
MR54;EQUIVALENCE_EXTEND;Test-12;6;3;3;[term, country, media, entity, callback, explicit];[lang:en_us];[version:2];[limit:50];[];[];[]
MR22;EQUIVALENCE_EXTEND;Test-06;7;2;2;[term, country, media, attribute, callback, limit, version];[explicit:Yes];[lang:en_us];[];[];[];[]
MR34;EQUIVALENCE_EXTEND;Test-08;6;3;3;[term, country, media, entity, attribute, version];[lang:en_us];[explicit:Yes];[limit:50];[];[];[]
MR51;EQUIVALENCE_EXTEND;Test-12;6;3;3;[term, country, media, entity, callback, explicit];[version:2];[limit:50];[lang:en_us];[];[];[]
MR62;EQUIVALENCE_EXTEND;Test-15;5;1;3;[term, country, callback, version, explicit];[lang:en_us, limit:50, media:all];[];[];[];[];[]
MR4;EQUIVALENCE_EXTEND;Test-02;4;2;4;[term, media, entity, version];[country:US, explicit:Yes, lang:en_us];[limit:50];[];[];[];[]
MR58;EQUIVALENCE_EXTEND;Test-14;8;1;2;[term, media, entity, attribute, callback, lang, version, explicit];[country:US, limit:50];[];[];[];[];[]
MR16;DISJOINT_EXTEND;Test-04;7;3;3;[term, country:JP, media, attribute, lang, version, explicit];[country:AD];[country:AE];[country:AF];[];[];[]
MR23;EQUIVALENCE_EXTEND;Test-06;7;2;2;[term, country, media, attribute, callback, limit, version];[lang:en_us];[explicit:Yes];[];[];[];[]
MR59;DISJOINT_EXTEND;Test-15;5;4;4;[term, country:IT, callback, version, explicit];[country:AD];[country:AE];[country:AF];[country:AG];[];[]
MR13;EQUIVALENCE_EXTEND;Test-03;7;3;3;[term, media, entity, attribute, callback, limit, explicit];[country:US];[version:2];[lang:en_us];[];[];[]
MR43;EQUIVALENCE_EXTEND;Test-10;4;3;3;[term, limit, version, explicit];[media:all];[lang:en_us];[country:US];[];[];[]
MR61;DISJOINT_EXTEND;Test-15;5;2;2;[term, country:IT, callback, version, explicit];[country:AD];[country:AE];[];[];[];[]
MR52;EQUIVALENCE_EXTEND;Test-12;6;1;3;[term, country, media, entity, callback, explicit];[lang:en_us, limit:50, version:2];[];[];[];[];[]
MR53;EQUIVALENCE_EXTEND;Test-12;6;2;3;[term, country, media, entity, callback, explicit];[lang:en_us, version:2];[limit:50];[];[];[];[]
MR39;EQUIVALENCE_EXTEND;Test-09;5;2;3;[term, media, attribute, version, explicit];[lang:en_us, limit:50];[country:US];[];[];[];[]
MR29;EQUIVALENCE_EXTEND;Test-07;4;1;4;[term, country, callback, lang];[explicit:Yes, limit:50, media:all, version:2];[];[];[];[];[]
MR65;EQUIVALENCE_EXTEND;Test-15;5;3;3;[term, country, callback, version, explicit];[limit:50];[lang:en_us];[media:all];[];[];[]
MR35;EQUIVALENCE_EXTEND;Test-08;6;1;3;[term, country, media, entity, attribute, version];[explicit:Yes, lang:en_us, limit:50];[];[];[];[];[]
MR17;DISJOINT_EXTEND;Test-04;7;6;6;[term, country:JP, media, attribute, lang, version, explicit];[country:AD];[country:AE];[country:AF];[country:AG];[country:AI];[country:AL]
MR60;DISJOINT_EXTEND;Test-15;5;5;5;[term, country:IT, callback, version, explicit];[country:AD];[country:AE];[country:AF];[country:AG];[country:AI];[]
MR6;EQUIVALENCE_EXTEND;Test-02;4;2;4;[term, media, entity, version];[country:US];[explicit:Yes, lang:en_us, limit:50];[];[];[];[]
MR15;DISJOINT_EXTEND;Test-04;7;2;2;[term, country:JP, media, attribute, lang, version, explicit];[country:AD];[country:AE];[];[];[];[]
MR19;EQUIVALENCE_EXTEND;Test-05;7;1;1;[term, country, media, entity, limit, lang, explicit];[version:2];[];[];[];[];[]
MR36;EQUIVALENCE_EXTEND;Test-08;6;2;3;[term, country, media, entity, attribute, version];[limit:50];[explicit:Yes, lang:en_us];[];[];[];[]
MR64;EQUIVALENCE_EXTEND;Test-15;5;2;3;[term, country, callback, version, explicit];[lang:en_us, limit:50];[media:all];[];[];[];[]
MR27;EQUIVALENCE_EXTEND;Test-07;4;2;4;[term, country, callback, lang];[limit:50, media:all];[explicit:Yes, version:2];[];[];[];[]
MR41;EQUIVALENCE_EXTEND;Test-09;5;3;3;[term, media, attribute, version, explicit];[country:US];[lang:en_us];[limit:50];[];[];[]
