MR;type;STC_id;STC_n_parameters;number_of_FUTCs;local_distance;source_parameters_list;added_parameters_futc_1;removed_parameters_futc_1;changed_parameters_futc_1;added_parameters_futc_2;removed_parameters_futc_2;changed_parameters_futc_2;added_parameters_futc_3;removed_parameters_futc_3;changed_parameters_futc_3;added_parameters_futc_4;removed_parameters_futc_4;changed_parameters_futc_4;added_parameters_futc_5;removed_parameters_futc_5;changed_parameters_futc_5;added_parameters_futc_6;removed_parameters_futc_6;changed_parameters_futc_6
MR7;EQUIVALENCE_EXTEND;Test-02;4;2;4;[term, media, entity, version];[country:US, lang:en_us, limit:50];[];[];[explicit:Yes];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
MR52;DISJOINT_EXTEND;Test-15;5;2;2;[term, country:IT, callback, version, explicit];[];[];[country:AD];[];[];[country:AE];[];[];[];[];[];[];[];[];[];[];[];[]
MR6;EQUIVALENCE_EXTEND;Test-02;4;2;4;[term, media, entity, version];[country:US, explicit:Yes, lang:en_us];[];[];[limit:50];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
MR56;EQUIVALENCE_EXTEND;Test-15;5;1;3;[term, country, callback, version, explicit];[lang:en_us, limit:50, media:all];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
MR42;EQUIVALENCE_EXTEND;Test-11;9;1;1;[term, country, media, entity, attribute, callback, lang, version, explicit];[limit:50];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
MR21;EQUIVALENCE_EXTEND;Test-07;4;1;4;[term, country, callback, lang];[explicit:Yes, limit:50, media:all, version:2];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
MR11;EQUIVALENCE_EXTEND;Test-03;7;2;3;[term, media, entity, attribute, callback, limit, explicit];[lang:en_us];[];[];[country:US, version:2];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
MR37;EQUIVALENCE_EXTEND;Test-10;4;2;3;[term, limit, version, explicit];[lang:en_us, media:all];[];[];[country:US];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
MR22;EQUIVALENCE_EXTEND;Test-07;4;2;4;[term, country, callback, lang];[explicit:Yes, limit:50, version:2];[];[];[media:all];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
MR5;EQUIVALENCE_EXTEND;Test-02;4;4;4;[term, media, entity, version];[country:US];[];[];[lang:en_us];[];[];[limit:50];[];[];[explicit:Yes];[];[];[];[];[];[];[];[]
