MR;type;STC_id;STC_n_parameters;number_of_FUTCs;local_distance;STC;FUTC_1;FUTC_2;FUTC_3;FUTC_4;FUTC_5;FUTC_6
MR41;EQUIVALENCE_EXTEND;Test-11;9;1;1;[term, country, media, entity, attribute, callback, lang, version, explicit];[limit:50];[];[];[];[];[]
MR10;DISJOINT_EXTEND;Test-04;7;5;5;[term, country:JP, media, attribute, lang, version, explicit];[country:AD];[country:AE];[country:AF];[country:AG];[country:AI];[]
MR8;EQUIVALENCE_EXTEND;Test-03;7;3;3;[term, media, entity, attribute, callback, limit, explicit];[country:US];[lang:en_us];[version:2];[];[];[]
MR5;DISJOINT_EXTEND;Test-03;7;1;1;[term, media, entity:album, attribute, callback, limit, explicit];[entity:mix];[];[];[];[];[]
MR42;DISJOINT_EXTEND;Test-12;6;1;1;[term, country:JP, media, entity, callback, explicit];[country:AD];[];[];[];[];[]
MR34;EQUIVALENCE_EXTEND;Test-09;5;2;3;[term, media, attribute, version, explicit];[country:US, limit:50];[lang:en_us];[];[];[];[]
MR27;EQUIVALENCE_EXTEND;Test-08;6;1;3;[term, country, media, entity, attribute, version];[explicit:Yes, lang:en_us, limit:50];[];[];[];[];[]
MR48;EQUIVALENCE_EXTEND;Test-12;6;2;3;[term, country, media, entity, callback, explicit];[limit:50, version:2];[lang:en_us];[];[];[];[]
MR32;EQUIVALENCE_EXTEND;Test-09;5;2;3;[term, media, attribute, version, explicit];[country:US, lang:en_us];[limit:50];[];[];[];[]
MR52;EQUIVALENCE_EXTEND;Test-14;8;2;2;[term, media, entity, attribute, callback, lang, version, explicit];[limit:50];[country:US];[];[];[];[]
MR44;EQUIVALENCE_EXTEND;Test-12;6;3;3;[term, country, media, entity, callback, explicit];[limit:50];[lang:en_us];[version:2];[];[];[]
MR24;EQUIVALENCE_EXTEND;Test-07;4;4;4;[term, country, callback, lang];[media:all];[version:2];[explicit:Yes];[limit:50];[];[]
MR26;DISJOINT_EXTEND;Test-08;6;6;6;[term, country:IT, media, entity, attribute, version];[country:AD];[country:AE];[country:AF];[country:AG];[country:AI];[country:AL]
MR17;EQUIVALENCE_EXTEND;Test-06;7;2;2;[term, country, media, attribute, callback, limit, version];[explicit:Yes];[lang:en_us];[];[];[];[]
MR22;EQUIVALENCE_EXTEND;Test-07;4;2;4;[term, country, callback, lang];[explicit:Yes, version:2];[limit:50, media:all];[];[];[];[]
MR28;EQUIVALENCE_EXTEND;Test-08;6;3;3;[term, country, media, entity, attribute, version];[explicit:Yes];[limit:50];[lang:en_us];[];[];[]
MR58;EQUIVALENCE_EXTEND;Test-15;5;2;3;[term, country, callback, version, explicit];[limit:50, media:all];[lang:en_us];[];[];[];[]
MR21;EQUIVALENCE_EXTEND;Test-07;4;1;4;[term, country, callback, lang];[explicit:Yes, limit:50, media:all, version:2];[];[];[];[];[]
MR23;EQUIVALENCE_EXTEND;Test-07;4;2;4;[term, country, callback, lang];[version:2];[explicit:Yes, limit:50, media:all];[];[];[];[]
MR51;EQUIVALENCE_EXTEND;Test-13;7;1;1;[term, country, media, entity, lang, version, explicit];[limit:50];[];[];[];[];[]
MR2;EQUIVALENCE_EXTEND;Test-02;4;2;4;[term, media, entity, version];[country:US, lang:en_us, limit:50];[explicit:Yes];[];[];[];[]
MR46;EQUIVALENCE_EXTEND;Test-12;6;1;3;[term, country, media, entity, callback, explicit];[lang:en_us, limit:50, version:2];[];[];[];[];[]
MR9;EQUIVALENCE_EXTEND;Test-03;7;2;3;[term, media, entity, attribute, callback, limit, explicit];[country:US, version:2];[lang:en_us];[];[];[];[]
MR53;EQUIVALENCE_EXTEND;Test-14;8;2;2;[term, media, entity, attribute, callback, lang, version, explicit];[country:US];[limit:50];[];[];[];[]
MR60;EQUIVALENCE_EXTEND;Test-15;5;3;3;[term, country, callback, version, explicit];[limit:50];[lang:en_us];[media:all];[];[];[]
MR14;EQUIVALENCE_EXTEND;Test-05;7;1;1;[term, country, media, entity, limit, lang, explicit];[version:2];[];[];[];[];[]
MR15;DISJOINT_EXTEND;Test-06;7;2;2;[term, country:IT, media, attribute, callback, limit, version];[country:AD];[country:AE];[];[];[];[]
MR7;EQUIVALENCE_EXTEND;Test-03;7;3;3;[term, media, entity, attribute, callback, limit, explicit];[lang:en_us];[version:2];[country:US];[];[];[]
MR30;EQUIVALENCE_EXTEND;Test-09;5;2;3;[term, media, attribute, version, explicit];[limit:50];[country:US, lang:en_us];[];[];[];[]
MR36;EQUIVALENCE_EXTEND;Test-10;4;2;3;[term, limit, version, explicit];[country:US, lang:en_us];[media:all];[];[];[];[]
MR38;EQUIVALENCE_EXTEND;Test-10;4;2;3;[term, limit, version, explicit];[lang:en_us];[country:US, media:all];[];[];[];[]
MR55;DISJOINT_EXTEND;Test-15;5;1;1;[term, country:IT, callback, version, explicit];[country:AD];[];[];[];[];[]
MR54;EQUIVALENCE_EXTEND;Test-14;8;1;2;[term, media, entity, attribute, callback, lang, version, explicit];[country:US, limit:50];[];[];[];[];[]
MR50;DISJOINT_EXTEND;Test-13;7;3;3;[term, country:IT, media, entity, lang, version, explicit];[country:AD];[country:AE];[country:AF];[];[];[]
MR56;DISJOINT_EXTEND;Test-15;5;5;5;[term, country:IT, callback, version, explicit];[country:AD];[country:AE];[country:AF];[country:AG];[country:AI];[]
MR0;EQUIVALENCE_EXTEND;Test-01;8;1;1;[term, country, media, attribute, callback, limit, lang, explicit];[version:2];[];[];[];[];[]
MR3;EQUIVALENCE_EXTEND;Test-02;4;3;4;[term, media, entity, version];[lang:en_us, limit:50];[country:US];[explicit:Yes];[];[];[]
MR39;DISJOINT_EXTEND;Test-11;9;1;1;[term, country:JP, media, entity, attribute, callback, lang, version, explicit];[country:AD];[];[];[];[];[]
MR1;EQUIVALENCE_EXTEND;Test-02;4;3;4;[term, media, entity, version];[country:US, lang:en_us];[limit:50];[explicit:Yes];[];[];[]
MR11;DISJOINT_EXTEND;Test-04;7;3;3;[term, country:JP, media, attribute, lang, version, explicit];[country:AD];[country:AE];[country:AF];[];[];[]
