MR;Type;STC;FUTCs;LocalDistance
MR55;EQUIVALENCE_EXTEND;Test-15;1;3
MR42;EQUIVALENCE_EXTEND;Test-11;1;1
MR7;EQUIVALENCE_EXTEND;Test-02;2;4
MR26;EQUIVALENCE_EXTEND;Test-07;1;4
MR47;EQUIVALENCE_EXTEND;Test-12;2;3
MR19;DISJOINT_EXTEND;Test-06;4;4
MR22;DISJOINT_EXTEND;Test-07;4;4
MR2;EQUIVALENCE_EXTEND;Test-01;1;1
MR30;EQUIVALENCE_EXTEND;Test-08;2;3
MR21;EQUIVALENCE_EXTEND;Test-06;1;2
MR17;DISJOINT_EXTEND;Test-05;6;6
MR3;EQUIVALENCE_EXTEND;Test-02;3;4
MR16;DISJOINT_EXTEND;Test-05;4;4
MR6;EQUIVALENCE_EXTEND;Test-02;1;4
MR34;EQUIVALENCE_EXTEND;Test-09;2;3
MR57;EQUIVALENCE_EXTEND;Test-15;2;3
MR28;DISJOINT_EXTEND;Test-08;1;1
MR27;EQUIVALENCE_EXTEND;Test-07;2;4
MR29;DISJOINT_EXTEND;Test-08;1;1
MR43;DISJOINT_EXTEND;Test-12;2;2
MR9;DISJOINT_EXTEND;Test-03;1;1
MR53;DISJOINT_EXTEND;Test-15;6;6
MR32;EQUIVALENCE_EXTEND;Test-08;2;3
MR15;EQUIVALENCE_EXTEND;Test-04;1;1
MR11;EQUIVALENCE_EXTEND;Test-03;2;3
MR23;DISJOINT_EXTEND;Test-07;3;3
MR46;EQUIVALENCE_EXTEND;Test-12;3;3
MR18;EQUIVALENCE_EXTEND;Test-05;1;1
MR52;EQUIVALENCE_EXTEND;Test-14;1;2
MR31;EQUIVALENCE_EXTEND;Test-08;1;3
MR25;EQUIVALENCE_EXTEND;Test-07;2;4
MR10;EQUIVALENCE_EXTEND;Test-03;3;3
MR38;EQUIVALENCE_EXTEND;Test-10;3;3
MR13;DISJOINT_EXTEND;Test-04;3;3
MR8;EQUIVALENCE_EXTEND;Test-02;3;4
MR36;EQUIVALENCE_EXTEND;Test-09;2;3
MR44;EQUIVALENCE_EXTEND;Test-12;2;3
MR40;EQUIVALENCE_EXTEND;Test-10;3;3
MR54;DISJOINT_EXTEND;Test-15;1;1
MR20;EQUIVALENCE_EXTEND;Test-06;2;2
MR33;EQUIVALENCE_EXTEND;Test-09;1;3
MR24;DISJOINT_EXTEND;Test-07;6;6
MR0;DISJOINT_EXTEND;Test-01;2;2
MR58;EQUIVALENCE_EXTEND;Test-15;2;3
MR37;EQUIVALENCE_EXTEND;Test-10;3;3
MR45;EQUIVALENCE_EXTEND;Test-12;1;3
MR41;DISJOINT_EXTEND;Test-11;1;1
MR1;DISJOINT_EXTEND;Test-01;1;1
MR56;EQUIVALENCE_EXTEND;Test-15;3;3
MR39;EQUIVALENCE_EXTEND;Test-10;1;3
MR50;EQUIVALENCE_EXTEND;Test-13;1;1
MR5;EQUIVALENCE_EXTEND;Test-02;2;4
MR4;EQUIVALENCE_EXTEND;Test-02;2;4
MR12;EQUIVALENCE_EXTEND;Test-03;1;3
MR14;DISJOINT_EXTEND;Test-04;5;5
MR35;EQUIVALENCE_EXTEND;Test-09;2;3
MR48;EQUIVALENCE_EXTEND;Test-12;2;3
MR49;EQUIVALENCE_EXTEND;Test-12;2;3
MR51;EQUIVALENCE_EXTEND;Test-14;2;2
