MR;type;STC_id;STC_n_parameters;number_of_FUTCs;local_distance;source_parameters_list;added_parameters_futc_1;removed_parameters_futc_1;changed_parameters_futc_1;added_parameters_futc_2;removed_parameters_futc_2;changed_parameters_futc_2;added_parameters_futc_3;removed_parameters_futc_3;changed_parameters_futc_3;added_parameters_futc_4;removed_parameters_futc_4;changed_parameters_futc_4;added_parameters_futc_5;removed_parameters_futc_5;changed_parameters_futc_5;added_parameters_futc_6;removed_parameters_futc_6;changed_parameters_futc_6
MR6;EQUIVALENCE_EXTEND;Test-03;7;1;3;[term, media, entity, attribute, callback, limit, explicit];[country:US, lang:en_us, version:2];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
MR3;EQUIVALENCE_EXTEND;Test-02;4;3;4;[term, media, entity, version];[lang:en_us];[];[];[country:US, limit:50];[];[];[explicit:Yes];[];[];[];[];[];[];[];[];[];[];[]
MR18;EQUIVALENCE_EXTEND;Test-07;4;1;4;[term, country, callback, lang];[explicit:Yes, limit:50, media:all, version:2];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
MR24;EQUIVALENCE_EXTEND;Test-08;6;2;3;[term, country, media, entity, attribute, version];[explicit:Yes, limit:50];[];[];[lang:en_us];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
MR5;EQUIVALENCE_EXTEND;Test-03;7;2;3;[term, media, entity, attribute, callback, limit, explicit];[country:US];[];[];[lang:en_us, version:2];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
MR9;EQUIVALENCE_EXTEND;Test-04;7;1;1;[term, country, media, attribute, lang, version, explicit];[limit:50];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
MR34;DISJOINT_EXTEND;Test-11;9;1;1;[term, country:JP, media, entity, attribute, callback, lang, version, explicit];[];[];[country:AD];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
MR16;DISJOINT_EXTEND;Test-07;4;4;4;[term, country:JP, callback, lang];[];[];[country:AD];[];[];[country:AE];[];[];[country:AF];[];[];[country:AG];[];[];[];[];[];[]
MR47;DISJOINT_EXTEND;Test-15;5;3;3;[term, country:IT, callback, version, explicit];[];[];[country:AD];[];[];[country:AE];[];[];[country:AF];[];[];[];[];[];[];[];[];[]
MR21;EQUIVALENCE_EXTEND;Test-07;4;2;4;[term, country, callback, lang];[explicit:Yes, limit:50];[];[];[media:all, version:2];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
MR2;EQUIVALENCE_EXTEND;Test-02;4;1;4;[term, media, entity, version];[country:US, explicit:Yes, lang:en_us, limit:50];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
MR36;DISJOINT_EXTEND;Test-12;6;1;1;[term, country:JP, media, entity, callback, explicit];[];[];[country:AD];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
MR37;EQUIVALENCE_EXTEND;Test-12;6;1;3;[term, country, media, entity, callback, explicit];[lang:en_us, limit:50, version:2];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
MR33;EQUIVALENCE_EXTEND;Test-10;4;1;3;[term, limit, version, explicit];[country:US, lang:en_us, media:all];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
MR41;DISJOINT_EXTEND;Test-13;7;1;1;[term, country, media, entity:album, lang, version, explicit];[];[];[entity:mix];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
MR27;EQUIVALENCE_EXTEND;Test-08;6;2;3;[term, country, media, entity, attribute, version];[limit:50];[];[];[explicit:Yes, lang:en_us];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
MR44;EQUIVALENCE_EXTEND;Test-14;8;1;2;[term, media, entity, attribute, callback, lang, version, explicit];[country:US, limit:50];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
MR29;EQUIVALENCE_EXTEND;Test-09;5;1;3;[term, media, attribute, version, explicit];[country:US, lang:en_us, limit:50];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
MR13;DISJOINT_EXTEND;Test-06;7;5;5;[term, country:IT, media, attribute, callback, limit, version];[];[];[country:AD];[];[];[country:AE];[];[];[country:AF];[];[];[country:AG];[];[];[country:AI];[];[];[]
MR30;EQUIVALENCE_EXTEND;Test-09;5;2;3;[term, media, attribute, version, explicit];[limit:50];[];[];[country:US, lang:en_us];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
MR45;EQUIVALENCE_EXTEND;Test-14;8;2;2;[term, media, entity, attribute, callback, lang, version, explicit];[country:US];[];[];[limit:50];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
MR42;DISJOINT_EXTEND;Test-13;7;4;4;[term, country:IT, media, entity, lang, version, explicit];[];[];[country:AD];[];[];[country:AE];[];[];[country:AF];[];[];[country:AG];[];[];[];[];[];[]
